"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.056240100E-2,-1.019940615E0,2.819941521E0,9.988240242E0
5.096240100E-2,-1.101296663E0,3.311068296E0,1.029691410E1
7.124464100E-2,-1.441077471E0,2.975475073E0,9.689137459E0
9.136026600E-2,-1.843669891E0,2.879761934E0,8.700303078E0
1.116323490E-1,-1.922633052E0,2.953939438E0,8.441878319E0
1.319040160E-1,-1.747358680E0,3.066402197E0,8.898907661E0
1.521752660E-1,-1.134796143E0,2.817548752E0,8.901300430E0
1.724461510E-1,-1.326221943E0,2.760120869E0,8.091927528E0
1.927169320E-1,-1.814357758E0,2.642872572E0,7.577471256E0
2.129874530E-1,-1.970489502E0,2.630908489E0,8.547162056E0
2.332578180E-1,-1.819143414E0,2.324627161E0,9.753743172E0
2.535280260E-1,-1.469791293E0,1.922034740E0,9.842277527E0
2.737981820E-1,-1.017547846E0,1.677966833E0,9.111868858E0
2.940683380E-1,-8.787640929E-1,2.020140409E0,8.180462837E0
3.143383380E-1,-8.931210637E-1,2.147558212E0,7.347760201E0
3.346083380E-1,-1.481755376E0,1.907677889E0,6.973881721E0
3.548783380E-1,-1.431506157E0,1.790429592E0,6.478567123E0
3.751481300E-1,-1.299900889E0,1.259222865E0,7.002595425E0
3.954180260E-1,-1.890329868E-1,9.188438654E-1,8.427521706E0
4.156878700E-1,4.408775866E-1,4.905286431E-1,8.992227554E0
4.359577130E-1,1.144367456E0,3.110669367E-2,8.831908226E0
4.562275570E-1,1.987239242E0,1.387837082E-1,9.166903496E0
4.764973490E-1,2.880360365E0,1.770688742E-1,1.003848934E1
4.967671930E-1,3.143570662E0,-4.839483798E-1,1.063490009E1
5.170369320E-1,2.976073265E0,-1.164108157E0,1.097468090E1
5.373067240E-1,2.743969440E0,-1.324427366E0,1.197308636E1
5.575764630E-1,2.404188633E0,-1.367498159E0,1.239661598E1
5.778463070E-1,2.373081923E0,-9.625129104E-1,1.153998566E1
5.981160470E-1,2.758326292E0,-7.639086246E-1,1.124985600E1
6.183857860E-1,2.861217737E0,-5.916253924E-1,1.121635628E1
6.386555780E-1,3.275176048E0,-5.940182209E-1,1.158784199E1
6.589253180E-1,2.739183664E0,-4.767699242E-1,1.084068298E1
6.791950570E-1,2.464009047E0,-5.802594870E-2,9.629316330E0
6.994648490E-1,2.147558212E0,3.493520916E-1,8.927620888E0
7.197345880E-1,2.070987940E0,1.435693651E-1,9.068798065E0
7.400043280E-1,1.936989903E0,4.785645287E-3,9.571888924E0
7.604043280E-1,2.653042078E0,-2.374876440E-1,1.018923664E1
7.805439110E-1,3.002394199E0,-2.829512656E-1,1.056311512E1
8.008136510E-1,2.271985054E0,-9.631111473E-2,1.056072235E1
8.210833910E-1,1.194616675E0,-1.513460279E-1,1.013898754E1
8.413531300E-1,8.715856671E-1,-3.547359705E-1,1.004327488E1
8.617531300E-1,1.113260746E0,-1.657029688E-1,1.033519936E1
8.818926610E-1,1.240080357E0,2.440679073E-1,1.018445110E1
9.021624010E-1,1.139581800E0,2.584248483E-1,9.698708534E0
9.224321410E-1,1.324427366E0,3.637090325E-1,9.473783493E0
9.427018800E-1,1.377069473E0,7.704889178E-1,8.918049812E0
9.631018800E-1,1.175474167E0,7.417750359E-1,8.781659126E0
9.832413590E-1,1.273579836E0,7.226324677E-1,9.202795982E0
1.003511099E0,1.975275040E0,4.953143001E-1,9.643673897E0
1.023780838E0,2.904288530E0,-1.726421595E0,1.317009544E1
1.044050526E0,-2.512463629E-1,-5.844469070E-1,1.008873844E1
1.064320266E0,0.000000000E0,1.390828133E0,8.970691681E0
1.084590005E0,2.033899277E-1,3.254238665E-1,9.780064583E0
1.104859693E0,-7.178468257E-2,7.202396393E-1,1.014138031E1
1.125129432E0,-4.761717021E-1,2.365305185E0,9.293723106E0
1.145399172E0,-8.955138922E-1,2.561516523E0,7.993822098E0
1.165799172E0,1.355534077E0,1.498505235E0,9.059226990E0
1.185938651E0,1.872383714E0,5.862415433E-1,9.959526062E0
1.206208338E0,1.007976532E0,5.335994363E-1,1.012463093E1
1.226478078E0,1.292124242E-1,4.618147612E-1,1.002891827E1
1.246747818E0,4.289134443E-1,2.799602449E-1,9.629316330E0
1.267147818E0,1.914258115E-2,2.201396823E-1,8.977870941E0
1.287287245E0,-9.888339639E-1,-2.039881349E-1,9.528818130E0
1.307556984E0,-7.393822074E-1,-4.576273263E-1,1.022273636E1
1.327826672E0,1.458425403E0,5.694918036E-1,9.514460564E0
1.348096411E0,-2.153540403E-1,1.196411345E-2,7.122236729E0
1.368366099E0,-1.067797065E0,-8.476574421E-1,8.372486115E0
1.388635838E0,-6.795616150E-1,-8.859425783E-1,8.127820015E0
1.408905526E0,-1.048654556E0,-2.662015259E-1,7.907680511E0
1.429175266E0,-1.565504193E0,1.124626622E-1,8.585447311E0
1.449444953E0,-1.689931035E0,-1.495514158E-2,8.362915039E0
1.469714693E0,-3.629313707E0,1.196411327E-1,7.371688366E0
1.489984380E0,-4.462614059E0,-1.800599098E-1,7.328617573E0
1.510254120E0,-5.260022163E0,-1.769492388E0,6.744170666E0
1.530523807E0,-5.676373482E0,-3.926621914E0,5.717051506E0
1.550793443E0,-4.994419098E0,-4.901099205E0,6.610172749E0
1.571063234E0,-4.754538536E0,-5.080560684E0,6.784848690E0
1.591332922E0,-6.011966705E0,-4.862813950E0,5.657230854E0
1.611602609E0,-7.886145115E0,-2.612364054E0,5.815157413E0
1.631872297E0,-7.508079052E0,-1.994417667E0,5.461019516E0
1.652141984E0,-7.893323898E0,-2.700898647E0,4.950749874E0
