"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.162994900E-2,-1.099884734E-1,-3.757717609E-1,3.544664681E-1
6.190093900E-2,-2.743053809E-2,-4.040012360E-1,3.273022473E-1
8.217187600E-2,-6.791055948E-2,-3.826959729E-1,1.478053331E-1
1.024428660E-1,-2.308958918E-1,-4.013380706E-1,-1.331579551E-4
1.227138550E-1,-3.842938542E-1,-4.599275887E-1,-2.090579830E-2
1.429848450E-1,-4.343612492E-1,-4.572644234E-1,-1.131842658E-2
1.632558350E-1,-4.332959950E-1,-5.030707717E-1,-2.783001214E-2
1.835268240E-1,-4.647212625E-1,-8.155924678E-1,-9.494162351E-2
2.037978140E-1,-5.313002467E-1,-1.262470603E0,-2.376869470E-1
2.240687510E-1,-5.190497041E-1,-1.285906315E0,-3.942807019E-1
2.443397930E-1,-4.498075843E-1,-1.084038854E0,-5.629918575E-1
2.646107830E-1,-6.121271253E-1,-1.130910516E0,-7.297055721E-1
2.848817720E-1,-1.070723176E0,-1.368863821E0,-7.494129539E-1
3.051527620E-1,-1.430116415E0,-1.006274700E0,-5.177181363E-1
3.254238030E-1,-1.472194314E0,7.470161468E-2,-1.993374527E-1
3.456947930E-1,-1.487107992E0,2.398174703E-1,7.430213690E-2
3.659657830E-1,-1.619733334E0,-5.920202732E-1,2.287653685E-1
3.862368240E-1,-1.446095347E0,-7.411571741E-1,4.295675755E-1
4.065078140E-1,-1.037699938E0,-7.395592928E-1,5.865607858E-1
4.267788550E-1,-5.371592045E-1,-6.729803085E-1,6.898913383E-1
4.471788550E-1,-3.275685757E-2,-5.392897129E-1,7.388935089E-1
4.673208870E-1,3.974764943E-1,-3.150517344E-1,7.277082205E-1
4.875919280E-1,5.470128655E-1,-3.518033028E-1,5.291697383E-1
5.078629180E-1,5.013396740E-1,-4.886896908E-1,2.442116886E-1
5.281339080E-1,4.390217662E-1,-4.141212404E-1,7.004108280E-2
5.484050010E-1,4.059986174E-1,-2.543317080E-1,-2.623211779E-2
5.686760430E-1,3.665838540E-1,-1.404816359E-1,-1.087900475E-1
5.889470850E-1,2.717753947E-1,-6.538055837E-2,-1.647163928E-1
6.092181260E-1,5.552686751E-2,7.044056058E-2,-2.744385600E-1
6.294891680E-1,-1.446095407E-1,3.712443709E-1,-2.280995846E-1
6.497602100E-1,-2.388853729E-1,5.299686790E-1,-1.684448123E-1
6.700313030E-1,-1.829590350E-1,5.166528821E-1,-1.231711060E-1
6.903023450E-1,-8.761793375E-2,3.648527861E-1,-1.284974217E-1
7.105733870E-1,-3.115896136E-2,2.605901062E-1,-8.855003864E-2
7.309733870E-1,-9.321057238E-3,1.529984921E-1,9.986846708E-3
7.511155220E-1,2.410159074E-2,-3.595264861E-3,6.844318658E-2
7.713866160E-1,8.961530030E-2,-2.170474641E-2,4.141212255E-2
7.916576580E-1,1.103879437E-1,5.765739456E-2,4.447475821E-2
8.119287510E-1,1.984053478E-2,-6.964161247E-2,2.436790615E-2
8.321997930E-1,-1.371526867E-1,-2.537990510E-1,-6.191844866E-2
8.524708870E-1,-2.324937880E-1,-1.932121962E-1,-1.247690022E-1
8.727419800E-1,-2.798980176E-1,-2.277000993E-2,-1.556616426E-1
8.930130740E-1,-3.565970063E-1,7.736477256E-2,-1.876195520E-1
9.132841160E-1,-5.121254921E-1,8.535424620E-2,-2.280995846E-1
9.335552100E-1,-6.723145247E-1,1.173121557E-1,-2.637858987E-1
9.538263030E-1,-7.442198396E-1,1.993374527E-1,-3.063964546E-1
9.740973970E-1,-6.115944982E-1,-2.530001104E-3,-3.426154256E-1
9.943684910E-1,1.037034154E0,-1.468465924E0,-5.182507634E-1
1.014639585E0,1.689241767E0,-9.434241056E-1,-5.091960430E-1
1.034910678E0,1.192429543E0,-1.443964839E0,-3.394196332E-1
1.055181772E0,1.102947354E0,-1.493499637E0,-3.665838540E-1
1.075452866E0,8.708530068E-1,-1.266198993E0,-5.534044504E-1
1.095723960E0,5.050681233E-1,-8.118640780E-1,-8.064045906E-1
1.115995053E0,1.620532274E-1,-3.773696423E-1,-7.259771824E-1
1.136266147E0,7.949529588E-2,-7.550056279E-2,-5.411539078E-1
1.156537241E0,1.721732318E-1,3.102580272E-2,-3.617901504E-1
1.176937241E0,2.765690684E-1,-2.063948289E-2,-2.930806577E-1
