"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.243417500E-2,-1.397093296E0,-2.520680130E-1,2.499374747E-1
6.262105000E-2,-1.025316238E0,-9.281109273E-2,4.304996729E-1
8.280886300E-2,-7.771098018E-1,6.751108170E-2,5.620597005E-1
1.029976130E-1,-8.687224984E-1,2.310290486E-1,6.909566522E-1
1.231873000E-1,-1.100417376E0,5.472791940E-2,7.186535001E-1
1.433778210E-1,-1.337971091E0,-4.454133511E-1,7.783082724E-1
1.635691750E-1,-1.440236449E0,-7.383608818E-1,1.001480937E0
1.837611540E-1,-1.538773298E0,-5.263733864E-1,1.004676819E0
2.039536540E-1,-1.904158711E0,-1.077247858E-1,7.080008388E-1
2.241464670E-1,-2.476205349E0,2.821617126E-1,6.078660488E-1
2.443394880E-1,-2.741456032E0,3.114564717E-1,9.455546141E-1
2.645433420E-1,-2.416550636E0,2.063948289E-2,1.390834808E0
2.847224040E-1,-1.536110163E0,-6.245107949E-2,1.604420185E0
3.049017790E-1,-3.366233110E-1,3.183806837E-1,1.376986384E0
3.250818830E-1,6.013413072E-1,4.451470375E-1,7.548724413E-1
3.452630290E-1,7.850993276E-1,7.029408216E-1,4.273038805E-1
3.654454250E-1,4.111917615E-1,1.318663239E0,3.958786130E-1
3.856293830E-1,-2.876211703E-1,1.676059127E0,4.384891391E-1
4.058150080E-1,-9.454214573E-1,1.757019162E0,7.841671705E-1
4.260023000E-1,-1.116396308E0,1.444364309E0,1.309342146E0
4.461912580E-1,-8.064045906E-1,1.006008387E0,1.569266558E0
4.663818830E-1,-5.683181286E-1,7.604650855E-1,1.601757050E0
4.865739670E-1,-7.078676820E-1,1.117328405E0,1.609746575E0
5.067674040E-1,-1.003478408E0,1.811880350E0,1.738110781E0
5.269618830E-1,-1.150484681E0,2.619882822E0,2.108822584E0
5.471571960E-1,-1.031175256E0,3.165830374E0,2.470479488E0
5.673530290E-1,-6.631265879E-1,3.548792601E0,2.176999331E0
5.875490710E-1,-5.635244846E-1,3.030009270E0,8.683230281E-1
6.077444880E-1,-5.757750273E-1,2.087250948E0,-3.125217259E-1
6.279333420E-1,1.763011366E-1,1.525324345E0,-1.216930509E0
6.481167790E-1,8.665919900E-1,1.207875848E0,-1.686711788E0
6.683006330E-1,5.906887054E-1,1.322391629E0,-1.676591754E0
6.884850080E-1,2.679138184E-1,1.100284219E0,-1.434777021E0
7.086701130E-1,-8.522109129E-3,6.384924054E-1,-8.829703927E-1
7.288560500E-1,-2.817622423E-1,4.446144104E-1,-5.431513190E-1
7.490429250E-1,-3.057306707E-1,5.681849718E-1,-9.245156646E-1
7.692307380E-1,-3.083938360E-1,4.962796867E-1,-1.743170738E0
7.894194880E-1,-2.593916953E-1,4.249070287E-1,-2.214550018E0
8.096091750E-1,-1.810948253E-1,-2.616553903E-1,-1.852360368E0
8.297996960E-1,-4.543349445E-1,-1.022253633E0,-1.107208371E0
8.499909460E-1,-1.106808901E0,-1.698696017E0,-4.110586047E-1
8.701828210E-1,-1.675127029E0,-1.486708522E0,3.873564899E-1
8.903752170E-1,-1.849297643E0,-1.537841201E0,9.791104198E-1
9.105679250E-1,-1.747565031E0,-1.365268469E0,8.496809006E-1
9.307608420E-1,-1.543034434E0,-6.014744639E-1,-1.426121742E-1
9.509645920E-1,-1.318796396E0,-3.740406930E-1,-2.058488846E0
9.711441750E-1,-1.311339498E0,1.494964361E0,-4.530433178E0
