"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.656047400E-2,-2.390011787E0,2.191891670E0,8.740033150E0
3.674953700E-2,-1.398812294E0,1.906981707E0,9.470264435E0
5.693318300E-2,-1.111508131E0,1.995567083E0,9.678560257E0
7.711724500E-2,-1.295861721E0,2.261323452E0,9.036913872E0
9.730182800E-2,-1.374870300E0,2.258929253E0,7.823053837E0
1.174871410E-1,-1.312621117E0,2.196680069E0,7.181407928E0
1.376732870E-1,-1.147421122E0,2.256535053E0,7.837419033E0
1.578603700E-1,-1.204882026E0,2.172738075E0,9.460687637E0
1.780483910E-1,-9.510966539E-1,2.091335297E0,1.046625233E1
1.982373490E-1,-1.001374841E0,2.029085875E0,1.040639782E1
2.184272450E-1,-1.652597666E0,2.292448044E0,1.003529644E1
2.386179740E-1,-1.887229443E0,2.354697466E0,9.786299706E0
2.588094330E-1,-1.487397790E0,1.799242616E0,9.472659111E0
2.790015160E-1,-1.410783410E0,1.727416515E0,9.228450775E0
2.991941200E-1,-1.544858694E0,1.906981707E0,9.008183479E0
3.193870370E-1,-1.511339784E0,1.878251195E0,8.847772598E0
3.395801620E-1,-1.168969035E0,1.703474522E0,8.833407402E0
3.597841200E-1,-3.405751884E-1,1.389834046E0,1.004008484E1
3.799633910E-1,4.542997777E-1,1.296460271E0,1.150294209E1
4.001429740E-1,1.286883354E-1,1.710657120E0,1.134013653E1
4.203232870E-1,9.810241461E-1,1.279700756E0,1.089720917E1
4.405046410E-1,2.656965256E0,1.394622445E0,1.145745182E1
4.606872450E-1,-6.278793812E-1,1.571793437E0,6.714538574E0
4.808713080E-1,-1.204882026E0,2.334346622E-1,4.978742599E0
5.010570370E-1,-2.200869799E0,9.457096457E-2,7.468712330E0
5.212444330E-1,-1.705270171E0,2.813186944E-1,8.989029884E0
5.414334950E-1,-1.010951638E0,8.200140595E-1,7.990648270E0
5.616242240E-1,-9.989806414E-1,1.176750183E0,7.688978672E0
5.818164120E-1,-1.130661726E0,-1.496376097E-1,8.024167061E0
6.020099530E-1,-1.683722377E0,2.501940727E-1,7.954735279E0
6.222045370E-1,-1.362899303E0,-5.566518903E-1,9.192537308E0
6.423999530E-1,-1.971026540E0,-1.332373261E0,1.056920338E1
6.625958910E-1,-3.567959070E0,-2.196680069E0,9.939528465E0
6.827920370E-1,-4.810549736E0,-2.792836189E0,1.032738876E1
7.029827660E-1,-4.429871559E0,-2.457648039E0,1.025077438E1
7.231735990E-1,-3.697246075E0,-2.364274263E0,1.021486187E1
7.433752660E-1,-4.094683647E0,-3.635595322E0,1.054286766E1
7.635555780E-1,-4.856039524E0,-3.642777920E0,1.046146393E1
7.837362030E-1,-5.186439514E0,-1.327584863E0,7.976283073E0
