"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.169128000E-3,6.097433090E0,2.885012925E-1,6.812700748E0
2.436485700E-2,6.226719856E0,2.741360962E-1,7.155071735E0
4.455803400E-2,6.188412666E0,2.621650994E-1,7.906851292E0
6.475095000E-2,5.795763969E0,1.496376097E-1,8.112752914E0
8.493964800E-2,5.757456303E0,1.951274425E-1,7.344213486E0
1.051188670E-1,5.601833344E0,7.781155407E-2,7.272387505E0
1.252986070E-1,5.091868401E0,1.999158412E-1,7.384915352E0
1.454792320E-1,4.907515049E0,2.430114746E-1,7.116764545E0
1.656610030E-1,5.127781391E0,1.197100850E-3,6.898892403E0
1.858441280E-1,5.343259811E0,-4.608838260E-1,6.740874767E0
2.060287630E-1,5.075109005E0,-7.601590157E-1,6.810306549E0
2.262150130E-1,4.809352875E0,-8.870517015E-1,8.107964516E0
2.464029300E-1,4.818929672E0,-6.380547285E-1,7.787140846E0
2.665924610E-1,5.498882771E0,-5.159504414E-1,7.712920666E0
2.867835030E-1,6.075885296E0,-5.446808934E-1,7.234080315E0
3.069758980E-1,6.432621479E0,-8.702923059E-1,6.783970356E0
3.271694400E-1,6.305728912E0,-6.811503768E-1,7.528567314E0
3.473639190E-1,5.812523365E0,-3.603273630E-1,8.397662163E0
3.675590750E-1,5.644928932E0,3.651157618E-1,8.998606682E0
3.877545960E-1,5.858013153E0,1.021126986E0,8.708909035E0
4.079475130E-1,6.399102688E0,1.650802016E0,7.509413719E0
4.281377730E-1,7.162852764E0,2.031480074E0,6.228515625E0
4.483335030E-1,7.782951355E0,2.297236443E0,5.143942356E0
4.685241280E-1,8.405443192E0,2.381033659E0,4.861426353E0
4.887043880E-1,9.039907455E0,1.777694821E0,5.103240967E0
5.088851170E-1,9.379883766E0,1.456871748E0,5.768828869E0
5.290666280E-1,9.315239906E0,1.487996340E0,6.312312603E0
5.492491800E-1,9.372700691E0,1.365892053E0,6.175843239E0
5.694329300E-1,9.750985146E0,1.341950059E0,5.723339081E0
5.896180340E-1,1.047403431E1,1.006761789E0,5.656301498E0
6.098045960E-1,1.082837582E1,7.050924301E-1,4.255693436E0
6.299926170E-1,1.063444519E1,1.495178938E0,2.067393064E0
6.501820960E-1,1.006223106E1,2.122459888E0,1.663970202E-1
6.703729300E-1,8.438961983E0,2.199074268E0,-1.017535701E-1
6.905649610E-1,8.486846924E0,5.686228871E-1,6.344634295E-2
7.107580340E-1,1.131918716E1,-1.787271619E0,-1.376665980E-1
7.309519400E-1,1.137425327E1,-2.318784237E0,-6.739677787E-1
7.511464190E-1,1.021067142E1,-1.112106681E0,-1.442506552E0
7.713412110E-1,9.731831551E0,-1.663970202E-1,-1.559822440E0
7.915357940E-1,7.952939510E0,7.864952683E-1,-5.997475386E-1
8.117272530E-1,7.272986412E0,1.382651448E0,1.006761789E0
8.319131900E-1,1.239657784E1,1.179144382E0,3.590105534E0
8.520966280E-1,1.329440308E1,-1.280897856E-1,4.665102005E0
8.722805340E-1,8.671199799E0,1.715445518E0,2.285265446E0
8.924650650E-1,8.776544571E0,3.314772367E0,-2.237381458E0
9.126503780E-1,9.461286545E0,1.720233917E0,-2.737769604E0
9.328365750E-1,9.264962196E0,-1.113303825E-1,-2.381033659E0
9.530237110E-1,8.446145058E0,-9.109937549E-1,-4.126406670E0
9.732117840E-1,7.062296391E0,-7.098808289E-1,-6.238092422E0
9.934007940E-1,6.279392719E0,1.927332431E-1,-7.782352448E0
1.013590690E0,6.930615425E0,-4.249708056E-1,-8.725667953E0
1.033781367E0,8.173206329E0,-2.266111851E0,-7.313088894E0
1.053972721E0,7.529165745E0,-3.151966572E0,-5.905298710E0
1.074164648E0,6.451775074E0,-2.397793055E0,-6.144718647E0
1.094356992E0,6.751050472E0,-7.170634270E-1,-6.891709805E0
1.114549596E0,8.587403297E0,-2.477998734E-1,-5.550956726E0
1.134747721E0,8.975263596E0,-4.513070285E-1,-4.056974888E0
1.154939075E0,8.630498886E0,5.686228871E-1,-3.886986494E0
1.175118398E0,8.359953880E0,1.662773132E0,-5.005078793E0
1.195298242E0,7.665635109E0,1.672349930E0,-5.438429356E0
1.215478971E0,7.031171799E0,-5.985504016E-3,-4.590881824E0
1.235660846E0,6.684012413E0,4.680664241E-1,-6.288370609E0
1.255844075E0,8.982446671E0,-7.541735470E-2,-7.645883083E0
1.276028815E0,1.148678112E1,-2.436100245E0,-7.329848289E0
1.296215169E0,7.663240910E0,-1.229422569E0,-1.125394535E1
1.316403190E0,5.635352135E0,5.386953801E-2,-1.066018295E1
1.336592825E0,5.891531944E0,2.831143618E0,-7.772775650E0
1.356783971E0,4.881178856E0,2.809595585E0,-5.436035156E0
1.376976471E0,2.625840664E0,-9.588778019E-1,-3.712209702E0
1.397170117E0,6.808511257E0,-2.053027868E0,-3.733757496E0
1.417364648E0,9.980828285E0,-1.229422569E0,-4.782417774E0
1.437559753E0,6.897096634E0,-5.183446407E-1,-8.244433403E0
1.457755169E0,4.306570530E0,-1.304839998E-1,-1.158434486E1
1.477950013E0,3.820547342E0,9.421183467E-1,-1.419163036E1
1.498141419E0,3.633799553E0,1.626860023E0,-1.158913326E1
1.518327357E0,4.821323872E0,1.389834046E0,-7.554903507E0
1.538510794E0,5.017648220E0,3.579331636E-1,-7.648277283E0
1.558694700E0,5.790975571E0,-3.962403834E-1,-8.910021782E0
1.578879232E0,8.218695641E0,-1.185129806E-1,-6.695384979E0
1.599064544E0,8.089408875E0,1.499967337E0,-5.131971359E0
1.619250742E0,6.490082264E0,2.146401882E0,-6.161478043E0
