"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.446428400E-2,-2.870885432E-1,2.034653574E-1,-8.988162130E-2
5.465178400E-2,-1.065263641E-3,2.125200927E-1,-5.526055023E-2
7.485011700E-2,2.577938139E-1,1.917474568E-1,1.877527125E-2
9.502918000E-2,2.135853618E-1,2.530001104E-1,2.250369452E-2
1.152085550E-1,-3.408843651E-2,1.741705984E-1,2.676474862E-2
1.353886590E-1,-2.625874877E-1,-9.747162461E-2,1.290300637E-1
1.555698050E-1,-4.527370334E-1,-3.589938581E-1,1.972069293E-1
1.757522000E-1,-6.556697488E-1,-6.865624189E-1,1.258342713E-1
1.959360550E-1,-8.191877604E-1,-1.107874155E0,-1.318263728E-2
2.161214710E-1,-6.897581816E-1,-1.424790144E0,-1.424790081E-2
2.363085550E-1,9.161267430E-2,-1.665007114E0,2.163816839E-1
2.564973050E-1,1.059404731E0,-1.555817604E0,5.663207769E-1
2.766876170E-1,1.691106081E0,-1.390169024E0,8.741819859E-1
2.968793880E-1,1.743303895E0,-1.371526957E0,9.732515216E-1
3.170724090E-1,1.389636397E0,-1.140364766E0,9.327715039E-1
3.372664710E-1,1.141962647E0,-7.824361324E-1,9.359672666E-1
3.574613670E-1,1.296425819E0,-6.434192657E-1,1.002546191E0
3.776567840E-1,1.720400810E0,-7.520761490E-1,1.044624209E0
3.978524090E-1,2.066611528E0,-1.246358514E0,1.000948310E0
4.180426170E-1,2.059687138E0,-1.717205048E0,8.534093499E-1
4.382329300E-1,1.821600795E0,-1.814676642E0,7.836345434E-1
4.584340750E-1,1.483912230E0,-1.526522756E0,8.683230281E-1
4.786141800E-1,1.153680563E0,-1.203747869E0,1.019057870E0
4.987945960E-1,9.986846447E-1,-9.065393806E-1,1.027047276E0
5.189756380E-1,1.095623612E0,-8.852340579E-1,9.034767151E-1
5.391576170E-1,1.350754261E0,-1.138234258E0,7.793735266E-1
5.593407420E-1,1.544632316E0,-1.301219583E0,8.512787819E-1
5.795251170E-1,1.712411284E0,-1.047686815E0,9.817736149E-1
5.997109500E-1,2.004293442E0,-9.629983306E-1,9.018788338E-1
6.198982420E-1,2.104428291E0,-1.056741476E0,7.021418810E-1
6.400869920E-1,1.821068168E0,-1.030642629E0,5.673860312E-1
6.602772000E-1,1.281512141E0,-1.276185870E0,5.407544374E-1
6.804686590E-1,8.250467181E-1,-1.787512422E0,7.303713560E-1
7.006612630E-1,3.946801722E-1,-2.503369570E0,6.989461184E-1
7.208548050E-1,9.001477808E-2,-3.301784754E0,-9.147951752E-2
7.410490750E-1,2.609895915E-2,-3.588873148E0,-7.359640002E-1
7.612437630E-1,-1.054610983E-1,-3.465302706E0,-7.679219246E-1
7.814386590E-1,-2.577938139E-1,-3.102047682E0,-3.258375227E-1
8.016329300E-1,-3.014696240E-1,-2.331329584E0,7.575356364E-1
8.218215750E-1,-1.960085034E-1,-8.703203797E-1,1.812146664E0
8.420048050E-1,1.651158556E-2,-9.331709743E-1,1.333843231E0
8.621884500E-1,5.070654750E-1,-1.576057553E0,3.021354079E-1
8.823726170E-1,8.628635406E-1,-1.817339778E0,3.458112180E-1
9.025575130E-1,4.324970245E-1,-2.231727362E0,4.581965208E-1
9.227432420E-1,1.065263618E-2,-2.233857870E0,3.079943359E-1
9.429299090E-1,-9.108003974E-2,-2.309491634E0,1.950764060E-1
9.631175130E-1,-3.344927728E-1,-2.467150688E0,1.215732098E-1
9.833060550E-1,-8.394277692E-1,-2.842123508E0,3.181143403E-1
1.003495534E0,-1.580851197E0,-3.360374212E0,7.399587631E-1
1.023685846E0,-2.226933718E0,-3.054110765E0,9.423588514E-1
1.043876888E0,-2.434127331E0,-2.448508501E0,9.402283430E-1
1.064068555E0,-2.318013668E0,-1.891375542E0,1.214533687E0
1.084260742E0,-2.288718939E0,-1.245825887E0,1.572994947E0
1.104453242E0,-2.430931568E0,-1.007206798E0,1.494165421E0
1.124645950E0,-2.326003075E0,-7.835013866E-1,9.860346317E-1
1.144849492E0,-2.047436714E0,-2.125200927E-1,6.733797789E-1
1.165028659E0,-1.810415506E0,-4.793686420E-2,6.749776602E-1
1.185208138E0,-1.548360705E0,-3.643201590E-1,8.800409436E-1
1.205388346E0,-1.249021649E0,-8.964193463E-1,1.182575822E0
1.225569596E0,-6.791055799E-1,-1.729455471E0,1.549026489E0
1.245752096E0,-4.937497079E-1,-2.079394579E0,1.669401288E0
1.265936055E0,-7.499455810E-1,-2.560893774E0,1.000948310E0
1.286121575E0,-4.202465117E-1,-2.825079203E0,-3.087933064E-1
1.306308763E0,1.390169114E-1,-6.556697488E-1,-1.567402244E0
1.326497617E0,1.368863732E-1,8.415582776E-2,-2.744518518E0
1.346688034E0,1.342232227E-1,3.190464675E-1,-3.517367363E0
1.366879909E0,3.573959470E-1,-2.428801060E-1,-3.134937763E0
1.387073034E0,1.041827798E0,4.910865426E-1,-1.505084395E0
1.407267200E0,1.999499798E0,2.061817884E0,-8.307724595E-1
1.427462096E0,2.410158873E0,7.046719193E-1,-1.228115797E0
1.447657409E0,2.168344259E0,-1.328383803E0,-1.503486514E0
1.467852930E0,1.464204907E0,-1.782718658E0,-1.403351665E0
1.488047096E0,2.530001104E-1,-5.693834424E-1,-9.793767333E-1
1.508235742E0,-5.869602561E-1,6.929540038E-1,-2.490053698E-2
1.528418971E0,-6.721813679E-1,1.431714296E0,9.732515216E-1
1.548602617E0,-8.868319988E-1,2.318546295E0,1.760481358E0
1.568786784E0,-1.567535400E0,2.611493826E0,1.965011954E0
1.588971680E0,-1.810415506E0,2.795251846E0,1.302950621E0
1.609157409E0,-1.361939549E0,1.549425960E0,2.792322338E-1
