"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.697032500E-2,-1.353861213E0,4.416782379E0,8.650403023E0
7.714980400E-2,-1.358407140E0,4.432981014E0,8.641400337E0
9.732990800E-2,-1.358392000E0,4.435958862E0,8.639874458E0
1.175109500E-1,-1.354529381E0,4.431509495E0,8.642763138E0
1.376932420E-1,-1.344678760E0,4.423389435E0,8.648459435E0
1.578768870E-1,-1.326403499E0,4.420426846E0,8.652795792E0
1.780620960E-1,-1.287859440E0,4.421626568E0,8.658002853E0
1.982488670E-1,-1.228336573E0,4.425057888E0,8.664896965E0
2.184372000E-1,-1.165746689E0,4.435018539E0,8.668450356E0
2.386270960E-1,-1.109582186E0,4.443467617E0,8.671495438E0
2.588183460E-1,-1.055040002E0,4.450596809E0,8.674644470E0
2.790108460E-1,-1.007667303E0,4.453382492E0,8.678847313E0
2.992043870E-1,-9.552109241E-1,4.453149796E0,8.684896469E0
3.193986580E-1,-8.788374662E-1,4.445393085E0,8.696925163E0
3.395934500E-1,-7.691962123E-1,4.435976982E0,8.712108612E0
3.597884500E-1,-6.266151667E-1,4.439635754E0,8.721661568E0
3.799824080E-1,-4.982482493E-1,4.425958633E0,8.736877441E0
4.001706370E-1,-3.568070531E-1,4.404196262E0,8.754776955E0
4.203534500E-1,-1.630125344E-1,4.343994617E0,8.790535927E0
4.405366790E-1,1.082920209E-1,4.226518154E0,8.848458290E0
4.607204290E-1,4.150232375E-1,4.087899208E0,8.904337883E0
4.809049080E-1,7.288218141E-1,4.003136158E0,8.922673225E0
5.010902210E-1,1.009171247E0,4.002324104E0,8.895692825E0
5.212764710E-1,1.290841579E0,4.057287216E0,8.834168434E0
5.414636580E-1,1.595715046E0,4.120607853E0,8.754693031E0
5.616517830E-1,1.902033091E0,4.142140865E0,8.683049202E0
5.818408460E-1,2.110992908E0,4.112704754E0,8.648685455E0
6.020307420E-1,2.180375338E0,4.023219585E0,8.673526764E0
6.222214710E-1,2.126851320E0,3.862895012E0,8.759277344E0
6.424128250E-1,1.995914102E0,3.646556854E0,8.881967545E0
6.626047000E-1,1.839863420E0,3.397358418E0,9.013503075E0
6.827968870E-1,1.710247636E0,3.137031317E0,9.132604599E0
7.029892830E-1,1.637723565E0,2.907972813E0,9.221276283E0
7.231925120E-1,1.642294645E0,2.746715069E0,9.269779205E0
7.433708460E-1,1.745008349E0,2.651565552E0,9.278714180E0
7.635494920E-1,1.901666045E0,2.622317791E0,9.256214142E0
7.837288670E-1,2.090834141E0,2.663875103E0,9.203400612E0
8.039092830E-1,2.292228937E0,2.739659071E0,9.132925987E0
8.240910540E-1,2.444281340E0,2.811319590E0,9.071513176E0
8.442743870E-1,2.545162916E0,2.870330095E0,9.025172234E0
8.644593870E-1,2.639158249E0,2.920851707E0,8.981862068E0
8.846460540E-1,2.653512239E0,2.976854563E0,8.959218979E0
9.048343870E-1,2.642514706E0,3.000966311E0,8.954422951E0
9.250243870E-1,2.742577791E0,2.934805155E0,8.946260452E0
9.452158460E-1,2.933398247E0,2.796948910E0,8.929873466E0
9.654086580E-1,3.244651556E0,2.625796318E0,8.873996735E0
9.856025120E-1,3.617083788E0,2.429054976E0,8.785600662E0
1.005797200E0,4.076271534E0,2.170523643E0,8.651197433E0
1.025992408E0,4.719130993E0,1.836039782E0,8.398163795E0
1.046187825E0,5.500861168E0,1.468382597E0,7.984658718E0
1.066382721E0,6.227282524E0,1.144948721E0,7.488686562E0
1.086570950E0,6.832270145E0,8.796933293E-1,6.979728222E0
1.106753762E0,7.264852524E0,6.416180134E-1,6.555962086E0
1.126936992E0,7.602733135E0,4.791851342E-1,6.175696373E0
1.147120742E0,7.942711830E0,4.501253664E-1,5.734204292E0
1.167305221E0,8.249931335E0,3.852325380E-1,5.287779331E0
1.187490533E0,8.469179153E0,2.638136744E-1,4.936982632E0
1.207676783E0,8.636264801E0,1.236898750E-1,4.644351959E0
1.227863971E0,8.804048538E0,1.993212290E-2,4.319573879E0
