"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.855792700E-2,-2.568483829E0,1.542145371E0,9.337829590E0
4.875282300E-2,-2.531672478E0,1.476650834E0,9.358447075E0
6.895042700E-2,-2.537271976E0,1.447060227E0,9.361552238E0
8.914131300E-2,-2.562707663E0,1.418882847E0,9.358935356E0
1.093202190E-1,-2.575683594E0,1.383133292E0,9.360725403E0
1.294995940E-1,-2.565611362E0,1.363819242E0,9.366324425E0
1.496797500E-1,-2.546925306E0,1.363923788E0,9.371407509E0
1.698609480E-1,-2.540088654E0,1.364780545E0,9.373138428E0
1.900433960E-1,-2.548375368E0,1.359377265E0,9.371673584E0
2.102273020E-1,-2.550824404E0,1.348836064E0,9.372530937E0
2.304127710E-1,-2.529845715E0,1.335616112E0,9.380106926E0
2.505998020E-1,-2.490583658E0,1.323905110E0,9.392265320E0
2.707883440E-1,-2.454769850E0,1.316944718E0,9.402667046E0
2.909782920E-1,-2.422240019E0,1.309607983E0,9.412123680E0
3.111695420E-1,-2.382173538E0,1.286229014E0,9.425563812E0
3.313619380E-1,-2.331677675E0,1.245069742E0,9.443698883E0
3.515552190E-1,-2.267808914E0,1.200435400E0,9.465008736E0
3.717491250E-1,-2.187415600E0,1.160830259E0,9.488840103E0
3.919433960E-1,-2.078321457E0,1.121039152E0,9.518100739E0
4.121376670E-1,-1.945273399E0,1.073410392E0,9.551653862E0
4.323286040E-1,-1.796476722E0,1.020872712E0,9.586494446E0
4.525136040E-1,-1.604629517E0,9.697647691E-1,9.625752449E0
4.726961040E-1,-1.338862896E0,9.151208997E-1,9.671627998E0
4.928791250E-1,-1.045693636E0,8.503169417E-1,9.713592529E0
5.130628230E-1,-7.367741466E-1,7.924762368E-1,9.746769905E0
5.332473020E-1,-3.761593401E-1,7.429795265E-1,9.771226883E0
5.534326670E-1,4.723412544E-2,6.901425719E-1,9.782221794E0
5.736189690E-1,4.868316948E-1,6.137946844E-1,9.775307655E0
5.938062080E-1,9.378216863E-1,5.092043877E-1,9.748414040E0
6.139943850E-1,1.404867887E0,3.922469616E-1,9.697570801E0
6.341834480E-1,1.803156257E0,2.805942297E-1,9.635365486E0
6.543732920E-1,2.103266478E0,1.670901328E-1,9.576991081E0
6.745638130E-1,2.356204510E0,2.979154512E-2,9.519338608E0
6.947549060E-1,2.578733683E0,-1.333959550E-1,9.460588455E0
7.149464170E-1,2.798777580E0,-2.941613197E-1,9.394184113E0
7.351381350E-1,3.069490910E0,-4.134656191E-1,9.304712296E0
7.553353230E-1,3.385117531E0,-4.817701876E-1,9.191260338E0
7.755254790E-1,3.776540041E0,-5.326942801E-1,9.034621239E0
7.957033440E-1,4.130260468E0,-6.742964983E-1,8.868859291E0
8.158817290E-1,4.263355255E0,-1.003417492E0,8.774243355E0
8.360610000E-1,4.176729679E0,-1.399055600E0,8.761733055E0
8.562414690E-1,4.023083210E0,-1.768802404E0,8.766784668E0
8.764233960E-1,3.904897451E0,-2.076407671E0,8.752753258E0
8.966069380E-1,3.999163628E0,-2.264336348E0,8.663132668E0
9.167921980E-1,4.186041355E0,-2.357891560E0,8.549139977E0
9.369792290E-1,4.271581173E0,-2.469065428E0,8.475121498E0
9.571679790E-1,4.294129372E0,-2.642141581E0,8.411297798E0
9.773583440E-1,4.389056206E0,-2.787071466E0,8.314974785E0
9.975501670E-1,4.485442162E0,-2.852969885E0,8.240859985E0
1.017743188E0,4.504859447E0,-2.882118464E0,8.220099449E0
1.037937146E0,4.511597633E0,-2.857690811E0,8.224929810E0
1.058131781E0,4.585320950E0,-2.794976711E0,8.205688477E0
1.078326781E0,4.739286423E0,-2.676106453E0,8.157695770E0
1.098521365E0,4.919918537E0,-2.484893322E0,8.111109734E0
1.118712250E0,5.051026344E0,-2.270167351E0,8.093445778E0
1.138897250E0,5.192460060E0,-2.069073439E0,8.057770729E0
1.159079750E0,5.369607925E0,-1.833048105E0,7.998601913E0
1.179262771E0,5.579908848E0,-1.573016405E0,7.909527302E0
1.199446469E0,5.824586391E0,-1.450622320E0,7.755015373E0
1.219630948E0,6.092347145E0,-1.517500043E0,7.533318996E0
1.239816313E0,6.437277794E0,-1.575331807E0,7.228428841E0
1.260002615E0,6.877659798E0,-1.675315738E0,6.786862373E0
1.280189854E0,7.264089584E0,-1.954228759E0,6.291612148E0
1.300378031E0,7.602942467E0,-2.252949476E0,5.769736767E0
1.320567094E0,7.962735653E0,-2.343402863E0,5.222422123E0
1.340756938E0,8.256724358E0,-2.319686651E0,4.755623817E0
1.360947458E0,8.420878410E0,-2.389155388E0,4.421666145E0
1.381138552E0,8.514739990E0,-2.599919319E0,4.112178326E0
1.401330063E0,8.629636765E0,-2.840744257E0,3.691871643E0
1.421521781E0,8.710741043E0,-3.097963810E0,3.270473003E0
1.441718969E0,8.731197357E0,-3.415804148E0,2.875561714E0
1.461909125E0,8.700620651E0,-3.819088936E0,2.425725937E0
1.482086990E0,8.655494690E0,-4.083636761E0,2.139322042E0
1.502265375E0,8.671870232E0,-4.161987305E0,1.909690022E0
1.522444646E0,8.700157166E0,-4.218117237E0,1.638635874E0
1.542625115E0,8.692245483E0,-4.305747032E0,1.440759897E0
1.562807042E0,8.619509697E0,-4.460234642E0,1.407386899E0
1.582990583E0,8.480864525E0,-4.680901527E0,1.527906656E0
1.603175844E0,8.267479897E0,-4.974915504E0,1.751969099E0
1.623362875E0,7.989542007E0,-5.316936016E0,2.016875029E0
1.643551625E0,7.718248844E0,-5.638222694E0,2.193046570E0
1.663741990E0,7.474662304E0,-5.934837818E0,2.253335238E0
1.683933813E0,7.198960781E0,-6.228462696E0,2.356185913E0
1.704126833E0,6.876999855E0,-6.544933319E0,2.457867146E0
1.724320792E0,6.515040874E0,-6.876230717E0,2.538124323E0
1.744515427E0,6.194864750E0,-7.167459965E0,2.534077406E0
1.764710427E0,5.961549282E0,-7.408913612E0,2.395478010E0
1.784905010E0,5.717494011E0,-7.654353619E0,2.211678743E0
1.805095896E0,5.427739143E0,-7.912523746E0,2.025342226E0
1.825280896E0,5.124065876E0,-8.153882980E0,1.851631284E0
1.845463396E0,4.828145981E0,-8.371234894E0,1.667879939E0
1.865646365E0,4.569186211E0,-8.564398766E0,1.394269705E0
1.885829958E0,4.325820446E0,-8.737954140E0,1.051578879E0
1.906014333E0,4.023005009E0,-8.915643692E0,7.050684690E-1
1.926199594E0,3.649171352E0,-9.097064972E0,3.120228052E-1
1.946385792E0,3.174458265E0,-9.277580261E0,-1.403986067E-1
1.966572979E0,2.581596851E0,-9.441022873E0,-6.105856895E-1
1.986761156E0,1.930247545E0,-9.557609558E0,-1.047193170E0
2.006950219E0,1.501677752E0,-9.615025520E0,-1.211047888E0
2.027140063E0,1.514830351E0,-9.626628876E0,-1.097121954E0
2.047330583E0,1.615994215E0,-9.634358406E0,-8.591153622E-1
2.067521677E0,1.628072262E0,-9.651676178E0,-6.040866375E-1
2.087713188E0,1.607372522E0,-9.665637970E0,-4.027214050E-1
2.107904958E0,1.641677260E0,-9.662798882E0,-3.249695003E-1
2.128102250E0,1.735541463E0,-9.643571854E0,-3.997572958E-1
2.148292563E0,1.829004407E0,-9.616465569E0,-5.905306935E-1
2.168470635E0,1.870409131E0,-9.589772224E0,-8.415555954E-1
2.188649229E0,1.835453868E0,-9.572967529E0,-1.076930285E0
2.208828708E0,1.740750194E0,-9.583630562E0,-1.137633204E0
2.229009385E0,1.651174903E0,-9.612932205E0,-1.017618656E0
2.249191469E0,1.582589984E0,-9.644672394E0,-8.037853241E-1
2.269375115E0,1.571911812E0,-9.662816048E0,-5.739916563E-1
2.289560427E0,1.651377797E0,-9.656874657E0,-4.337097108E-1
2.309747406E0,1.826376677E0,-9.626473427E0,-4.071354568E-1
2.329936052E0,2.063560963E0,-9.576723099E0,-4.455227852E-1
2.350126260E0,2.292750835E0,-9.521516800E0,-5.043622851E-1
2.370317875E0,2.490436316E0,-9.469965935E0,-5.365262032E-1
2.390510688E0,2.644035339E0,-9.428901672E0,-5.246672630E-1
2.410704438E0,2.747015238E0,-9.400553703E0,-5.038791895E-1
2.430898865E0,2.804435492E0,-9.383347511E0,-5.082572699E-1
2.451093656E0,2.847074032E0,-9.369956970E0,-5.181525946E-1
2.471288344E0,2.901965857E0,-9.353775978E0,-5.058266521E-1
2.491479490E0,2.968456984E0,-9.334324837E0,-4.785632193E-1
2.511667250E0,3.035809278E0,-9.313682556E0,-4.577933550E-1
2.531852250E0,3.096036196E0,-9.294088364E0,-4.526399970E-1
2.552034750E0,3.139797926E0,-9.279040337E0,-4.598481357E-1
2.572217719E0,3.157841921E0,-9.272304535E0,-4.720064998E-1
2.592401313E0,3.157107830E0,-9.271601677E0,-4.903734028E-1
2.612585688E0,3.156448364E0,-9.270485878E0,-5.150913000E-1
2.632770948E0,3.159266472E0,-9.268512726E0,-5.330213904E-1
2.652957146E0,3.163859606E0,-9.268296242E0,-5.089799166E-1
2.673144281E0,3.182778835E0,-9.266208649E0,-4.215124547E-1
2.693332354E0,3.194108009E0,-9.265501022E0,-3.443165720E-1
2.713521365E0,3.195726395E0,-9.265500069E0,-3.289961517E-1
2.733711208E0,3.195987463E0,-9.264713287E0,-3.480494916E-1
2.753901729E0,3.195919514E0,-9.263505936E0,-3.794087768E-1
2.774092823E0,3.204432249E0,-9.259889603E0,-3.955446780E-1
2.794284333E0,3.254977226E0,-9.244880676E0,-3.281598985E-1
2.814476104E0,3.304509163E0,-9.230594635E0,-2.161668837E-1
2.834673396E0,3.329183340E0,-9.223372459E0,-1.277185380E-1
2.854863813E0,3.331304073E0,-9.223273277E0,-6.361344457E-2
2.875042094E0,3.314523697E0,-9.229534149E0,-3.804449923E-3
2.895220896E0,3.294875383E0,-9.236389160E0,5.752932653E-2
