"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.625537400E-2,-5.006738901E-1,-3.374222517E-1,5.113265663E-2
6.652355100E-2,-2.153164148E-1,7.949529588E-2,-7.243792713E-2
8.679178000E-2,9.414267540E-2,3.197122514E-1,-3.195790946E-2
1.068633950E-1,1.394163817E-1,1.450090110E-1,1.038632020E-1
1.271705300E-1,-2.037316747E-2,-9.187898785E-2,2.581932843E-1
1.475705300E-1,-1.684448123E-1,-1.755021811E-1,2.779006660E-1
1.677067800E-1,-3.030675054E-1,-1.142495275E-1,2.496711612E-1
1.881067800E-1,-2.913496196E-1,-3.115896136E-2,1.916143000E-1
2.082429780E-1,-4.966791719E-2,8.961530030E-2,1.049284711E-1
2.285111030E-1,6.751108170E-2,9.813741595E-2,6.551371515E-2
2.487792280E-1,-1.451421715E-2,6.937529147E-2,4.314317927E-2
2.690473530E-1,-1.620532274E-1,8.162582666E-2,4.687159881E-2
2.894473530E-1,-9.121319652E-2,1.721732318E-1,6.285055727E-2
3.095836550E-1,1.143826842E-1,1.956090331E-1,1.070589945E-1
3.298462590E-1,1.117195264E-1,1.034637317E-1,1.432779580E-1
3.501179260E-1,-1.130511016E-1,9.867004305E-2,1.027979404E-1
3.703864680E-1,-3.723096550E-1,4.986765385E-1,7.297056168E-2
3.906549570E-1,-5.395560265E-1,9.587372541E-1,7.456845790E-2
4.109233430E-1,-7.771098018E-1,1.028512001E0,8.362319320E-2
4.311917280E-1,-1.045955777E0,1.054610968E0,-1.810948178E-2
4.514600610E-1,-1.451688051E0,1.175917864E0,-9.534109384E-2
4.717283430E-1,-1.675393343E0,6.450171471E-1,-2.066611499E-1
4.919965720E-1,-1.902693987E0,2.355564237E-1,-3.828291297E-1
5.122648530E-1,-3.192994595E0,1.557814956E0,-6.800376773E-1
5.325330820E-1,-4.617918015E0,4.200600624E0,-9.744499326E-1
5.528013110E-1,-4.437489033E0,5.842837811E0,-1.308410048E0
5.730694890E-1,-1.536909103E0,3.882619619E0,-1.913879275E0
5.934775090E-1,1.308276892E0,2.415618420E0,-2.055426121E0
6.137544360E-1,6.436855793E-1,3.058904648E0,-1.393098474E0
6.338671450E-1,1.282311082E-1,2.935866594E0,-8.403598666E-1
6.541366760E-1,3.075948656E-1,1.585511804E0,-3.249054253E-1
6.744059990E-1,1.436774284E-1,-3.161169887E-1,9.906952083E-2
6.946750090E-1,-1.199753210E-1,-1.852892995E0,2.571280003E-1
7.149439160E-1,-2.775011659E-1,-2.087783575E0,6.118608117E-1
7.352126140E-1,-7.680550814E-1,-1.162202597E0,1.410009623E0
7.554812070E-1,-1.207343221E0,-6.323671341E-1,1.538906455E0
7.757496970E-1,-1.314402223E0,2.339585274E-1,1.118793130E0
7.960220410E-1,-9.724525213E-1,1.053013086E0,6.874945164E-1
8.163295930E-1,-5.864276290E-1,1.746233463E0,5.862944722E-1
8.365556340E-1,-4.426170290E-1,2.328266859E0,8.657930493E-1
8.568237590E-1,-3.387538493E-1,2.139848232E0,1.280047417E0
8.770918840E-1,-1.279647946E-1,1.623728156E0,1.797099710E0
8.973600610E-1,4.205128253E-1,1.090696812E0,2.253032684E0
9.176281860E-1,9.482178092E-1,8.961530030E-2,2.087383986E0
9.378963110E-1,6.037381887E-1,-6.153228879E-1,4.089280665E-1
9.581644360E-1,-2.700443268E-1,-7.607313991E-1,-6.901576519E-1
9.784325610E-1,-6.993455887E-1,-5.227781534E-1,-1.206677437E0
9.987006860E-1,-6.503434777E-1,1.668469161E-1,-1.650226593E0
1.018968811E0,-9.692567587E-1,6.671213359E-2,-1.328117490E0
1.039236936E0,-1.173787355E0,2.243711501E-1,-7.966840267E-1
1.059505061E0,-1.194027424E0,-1.089232042E-1,-7.402250767E-1
1.079773186E0,-1.113600016E0,-2.703106403E-1,-9.723193645E-1
