"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.261179000E-2,-6.137192845E-1,-1.244552851E0,9.707978249E0
6.271048800E-2,-5.789021254E-1,-1.256348729E0,9.708596230E0
8.298173800E-2,-5.667062998E-1,-1.292828918E0,9.704525948E0
1.032527790E-1,-5.724909902E-1,-1.422843218E0,9.685976028E0
1.236529880E-1,-6.165478230E-1,-1.710626483E0,9.636597633E0
1.437951750E-1,-5.419430137E-1,-2.219386339E0,9.536824226E0
1.640662690E-1,-5.715988278E-1,-2.788556576E0,9.384435654E0
1.843374150E-1,-9.391593933E-1,-2.882395029E0,9.326315880E0
2.046084040E-1,-7.789885402E-1,-2.733782291E0,9.385626793E0
2.250085080E-1,-8.206251860E-1,-2.441397429E0,9.462373734E0
2.451506440E-1,-9.480570555E-1,-2.212172985E0,9.506727219E0
2.654216860E-1,-9.883615375E-1,-2.026868820E0,9.543863297E0
2.856927790E-1,-1.002381206E0,-1.816481233E0,9.584675789E0
3.059637170E-1,-9.718873501E-1,-1.753985047E0,9.599445343E0
3.262349150E-1,-1.014860630E0,-1.953975797E0,9.556277275E0
3.465059560E-1,-1.397715330E0,-2.231884718E0,9.446453094E0
3.667769460E-1,-1.729338765E0,-2.490871668E0,9.326057434E0
3.870479360E-1,-1.972210526E0,-2.641294718E0,9.236035347E0
4.073189250E-1,-2.313568354E0,-2.639642954E0,9.156969070E0
4.275899150E-1,-2.377530813E0,-2.595010757E0,9.153341293E0
4.478609560E-1,-1.952336311E0,-2.589817762E0,9.254816055E0
4.681319460E-1,-1.780282378E0,-2.517329216E0,9.309350967E0
4.884029360E-1,-2.298093319E0,-2.389427662E0,9.229290009E0
5.086739770E-1,-2.276458025E0,-2.403017998E0,9.231122971E0
5.289449670E-1,-2.162094593E0,-2.470269203E0,9.240860939E0
5.492159560E-1,-2.306402922E0,-2.422179699E0,9.218673706E0
5.694869460E-1,-2.279465914E0,-2.285547256E0,9.260167122E0
5.897579360E-1,-2.159822464E0,-2.140675783E0,9.323253632E0
6.100289250E-1,-2.124791384E0,-2.068776369E0,9.347502708E0
6.302999150E-1,-2.166304350E0,-2.083627224E0,9.334667206E0
6.505709040E-1,-2.244472742E0,-2.172432184E0,9.295873642E0
6.708418940E-1,-2.252109051E0,-2.345725298E0,9.251810074E0
6.911128830E-1,-2.184012890E0,-2.648657560E0,9.186135292E0
7.113838730E-1,-2.019725084E0,-3.169852734E0,9.057767868E0
7.316548630E-1,-1.850495219E0,-3.890135288E0,8.809819221E0
7.519258520E-1,-1.558792949E0,-4.657074451E0,8.488357544E0
7.721968420E-1,-1.227291226E0,-5.384061813E0,8.104074478E0
7.924678310E-1,-9.803194404E-1,-6.076153278E0,7.634770393E0
8.128575710E-1,-8.332969546E-1,-6.805057526E0,7.011932373E0
8.330097580E-1,-6.740931273E-1,-7.597908497E0,6.163422108E0
8.532807480E-1,-2.897576094E-1,-8.383007050E0,5.080514908E0
8.735517380E-1,2.082798183E-1,-9.024524689E0,3.832093716E0
8.938227270E-1,5.841042995E-1,-9.457347870E0,2.527404070E0
9.142227270E-1,5.850049257E-1,-9.705943108E0,1.273907781E0
9.343646540E-1,2.563214898E-1,-9.801436424E0,1.910854727E-1
9.546356440E-1,-9.768299013E-2,-9.776974678E0,-7.560441494E-1
9.749065810E-1,-3.797470331E-1,-9.679938316E0,-1.524784327E0
9.951775710E-1,-7.376927137E-1,-9.545401573E0,-2.124031544E0
1.015577571E0,-1.175124288E0,-9.393689156E0,-2.558920860E0
1.035719498E0,-1.559433103E0,-9.226441383E0,-2.934506655E0
1.055990436E0,-1.948383451E0,-9.040960312E0,-3.261168957E0
1.076261425E0,-2.335731983E0,-8.880496979E0,-3.442603588E0
1.096532363E0,-2.535881996E0,-8.740289688E0,-3.653359890E0
1.116932363E0,-2.593639851E0,-8.622408867E0,-3.885548115E0
1.137074290E0,-2.679764986E0,-8.522979736E0,-4.043272972E0
1.157345227E0,-2.756898403E0,-8.409903526E0,-4.224146366E0
1.177616165E0,-2.779521227E0,-8.279155731E0,-4.460968494E0
1.197887154E0,-2.868112087E0,-8.149069786E0,-4.640794277E0
1.218287154E0,-3.036624193E0,-8.010284424E0,-4.773327351E0
1.238586998E0,-3.197225332E0,-7.876845837E0,-4.889114857E0
1.258858040E0,-3.318317413E0,-7.823218822E0,-4.894526482E0
1.278932415E0,-3.504835606E0,-7.853674412E0,-4.712357521E0
1.299242415E0,-3.816189051E0,-7.917109489E0,-4.350454807E0
1.319499602E0,-4.188717842E0,-7.985388279E0,-3.854685307E0
1.339779290E0,-4.448427677E0,-8.093772888E0,-3.297381639E0
1.360051113E0,-4.551883221E0,-8.249362946E0,-2.720063686E0
1.380322779E0,-4.588369370E0,-8.380774498E0,-2.209041834E0
1.400594342E0,-4.652653217E0,-8.477691650E0,-1.628481984E0
1.420865748E0,-4.742534637E0,-8.527216911E0,-9.825044274E-1
1.441137050E0,-4.776012421E0,-8.559254646E0,-3.150191009E-1
1.461408300E0,-4.584023952E0,-8.661217690E0,3.747390509E-1
1.481679446E0,-4.243640900E0,-8.786983490E0,9.750937819E-1
1.501958561E0,-3.958534241E0,-8.880505562E0,1.279455185E0
1.522298821E0,-3.670026779E0,-8.973252296E0,1.477166533E0
1.542491529E0,-3.446503639E0,-9.021477699E0,1.704385281E0
1.562762883E0,-3.693729162E0,-8.865437508E0,1.982617497E0
1.583034081E0,-3.540896654E0,-8.842947006E0,2.331247807E0
1.603305019E0,-2.601498842E0,-9.108147621E0,2.538549185E0
1.623705227E0,-1.657065511E0,-9.369127274E0,2.375705957E0
1.643847258E0,-1.082765698E0,-9.549488068E0,1.950712323E0
1.664118300E0,-9.269280434E-1,-9.654044151E0,1.452794433E0
1.684389342E0,-1.022990108E0,-9.695205688E0,1.061536312E0
1.704660279E0,-1.217359066E0,-9.692928314E0,8.576457500E-1
1.725060383E0,-1.451751471E0,-9.664320946E0,8.146831989E-1
1.745202206E0,-1.592457175E0,-9.638900757E0,8.520975709E-1
1.765473300E0,-1.663818359E0,-9.615652084E0,9.702163935E-1
1.785744238E0,-1.728007674E0,-9.581315994E0,1.175907969E0
1.806015123E0,-1.753531337E0,-9.544888496E0,1.410898447E0
