"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.714796800E-2,-2.803191662E0,-2.552543640E0,8.346165657E0
3.745229100E-2,-3.086143017E0,-2.720041037E0,7.591827869E0
5.756791600E-2,-3.583850145E0,-3.114856958E0,7.182057381E0
7.784057200E-2,-4.331008911E0,-3.663411379E0,7.689933777E0
9.811338500E-2,-5.599802971E0,-4.252644062E0,7.493722439E0
1.183863010E-1,-6.378068924E0,-4.491926193E0,6.952346325E0
1.386590620E-1,-6.667600155E0,-4.171288013E0,7.153343201E0
1.589319260E-1,-6.069394588E0,-4.221537113E0,7.948358536E0
1.792047910E-1,-5.726622581E0,-4.079762459E0,8.060821533E0
1.994777080E-1,-5.695516109E0,-4.077369690E0,7.680362701E0
2.198777080E-1,-6.074180126E0,-4.153940201E0,7.467401028E0
2.400235930E-1,-6.184250355E0,-3.926621914E0,7.285546780E0
2.602964580E-1,-5.879763603E0,-3.203989506E0,7.319046497E0
2.805693740E-1,-5.544768333E0,-2.672184706E0,7.340581894E0
3.008422910E-1,-5.537590027E0,-2.459223509E0,7.191628456E0
3.211152600E-1,-5.303092957E0,-2.320439816E0,7.045666218E0
3.413881240E-1,-4.307080746E0,-2.365903378E0,7.057630539E0
3.616610930E-1,-3.574278831E0,-1.987239242E0,7.371688366E0
3.819340100E-1,-3.586242914E0,-1.779063582E0,7.472187042E0
4.022069260E-1,-5.063810825E0,-1.472782373E0,7.704290867E0
4.224798950E-1,-6.457031727E0,-1.252642632E0,8.391629219E0
4.427528120E-1,-6.069394588E0,-1.472782373E0,8.190033913E0
4.630257280E-1,-5.604588985E0,-1.611566067E0,7.283154011E0
4.832986970E-1,-6.311069489E0,-1.444068432E0,6.966702938E0
5.035716140E-1,-7.855038643E0,-1.231107235E0,7.728219032E0
5.238445830E-1,-8.181060791E0,-1.970489502E0,8.139784813E0
5.441174990E-1,-7.584649563E0,-2.569293261E0,8.065607071E0
5.643904160E-1,-7.225726128E0,-1.946561217E0,8.190033913E0
5.846633850E-1,-6.835097790E0,-1.494317770E0,9.296115875E0
6.049363010E-1,-6.193821430E0,-1.987239242E0,9.214759827E0
6.252092700E-1,-5.748157978E0,-1.802991867E0,8.089534760E0
6.454821870E-1,-6.287141323E0,-1.209571838E0,7.967501163E0
6.658821870E-1,-6.696314335E0,-1.293320656E0,8.578269005E0
6.860280720E-1,-6.985845566E0,-2.193620205E0,8.091927528E0
7.063010410E-1,-6.732206345E0,-2.688934565E0,7.666005611E0
7.265739580E-1,-6.208178520E0,-2.650649309E0,7.646862984E0
7.468469260E-1,-6.083751678E0,-2.566900492E0,6.916453838E0
7.671198430E-1,-6.435496330E0,-2.861217737E0,6.090332031E0
7.873928120E-1,-6.679564476E0,-3.033500910E0,5.640480995E0
8.076657280E-1,-7.622934818E0,-2.973680258E0,5.709873199E0
8.279386970E-1,-8.985049248E0,-3.857230186E0,5.310271740E0
8.482116660E-1,-9.849455833E0,-3.780659676E0,4.474578381E0
8.684452600E-1,-9.686744690E0,-2.741576433E0,4.127020836E0
8.887574990E-1,-8.130811691E0,-2.669791937E0,4.069592953E0
9.090304680E-1,-7.835896015E0,-2.944966555E0,3.466601849E0
9.293033850E-1,-8.571090698E0,-2.306082726E0,3.665206194E0
9.495763530E-1,-8.204988480E0,-2.081157446E0,4.438685894E0
9.699763530E-1,-7.888537884E0,-2.492722988E0,5.091926575E0
9.901222910E-1,-7.943572998E0,-2.559721947E0,5.158925533E0
1.010395208E0,-8.444271088E0,-1.965703845E0,1.257428265E1
1.030668228E0,-6.978667259E0,-2.186441660E0,7.239484787E0
1.050941145E0,-6.837490559E0,-1.934597135E0,3.445066452E0
1.071341145E0,-7.917252064E0,-2.365903378E0,2.487339020E0
1.091487083E0,-1.044347477E1,-2.839682341E0,3.200998545E0
1.111760051E0,-1.023051357E1,-2.531008244E0,4.050450325E0
1.132033020E0,-7.692326546E0,-1.881955028E0,5.257629395E0
1.152305937E0,-6.830312252E0,-1.666600943E0,4.503292084E0
1.172705937E0,-5.647659779E0,-1.781456470E0,4.716253281E0
1.192733541E0,-4.249652863E0,-2.267797709E0,6.741777897E0
1.213125208E0,-5.059025288E0,-2.569293261E0,7.213163853E0
1.233397708E0,-6.579065800E0,-2.234298229E0,5.999404430E0
1.253670728E0,-9.313464165E0,-2.499901533E0,3.775275946E0
1.274070728E0,-1.117807102E1,-3.055036306E0,2.044068813E0
1.294216718E0,-1.043150997E1,-4.096512318E0,2.736192703E0
1.314489687E0,-1.039083195E1,-5.154737949E0,2.654836655E0
1.334762655E0,-8.233702660E0,-4.836492538E0,4.103092670E0
1.355035624E0,-6.760920525E0,-4.561318398E0,5.322235584E0
1.375308697E0,-6.545566559E0,-5.662614822E0,5.989833355E0
1.395581666E0,-8.537590981E0,-4.920241356E0,1.692323804E0
1.415854635E0,-8.097311974E0,-3.859622955E0,-1.250249892E-1
1.436127655E0,-8.740981102E0,-4.108476639E0,1.670788407E0
1.456400937E0,-8.908478737E0,-3.002394199E0,2.260020971E0
1.476807239E0,-7.414759159E0,-3.321237803E0,2.389233351E0
1.497094166E0,-6.136393547E0,-3.598805189E0,1.749751568E0
1.517211874E0,-7.388438225E0,-2.854039192E0,2.726621389E0
1.537486405E0,-8.111668587E0,-2.681756020E0,3.665206194E0
1.557759322E0,-8.085348129E0,-3.529413462E0,3.945166349E0
1.578160676E0,-9.691530228E0,-4.098905087E0,2.683550596E0
1.598307655E0,-1.096750259E1,-4.231108665E0,2.953939438E0
1.618581458E0,-9.839884758E0,-4.590032101E0,3.241676569E0
1.638855103E0,-8.898907661E0,-4.707280159E0,3.581457376E0
1.659128072E0,-8.870193481E0,-4.458426952E0,1.354935765E0
1.679528593E0,-9.397212982E0,-4.534996986E0,2.201396823E-1
1.699675051E0,-9.291928291E0,-4.893920422E0,1.843071699E0
1.719948385E0,-8.204988480E0,-5.724828243E0,2.415554523E0
1.740221614E0,-8.248059273E0,-5.724828243E0,1.706680775E0
1.760494583E0,-8.403593063E0,-4.343571186E0,2.743371248E0
1.780894791E0,-8.437092781E0,-3.538984776E0,2.927618504E0
1.801041041E0,-8.197810173E0,-4.094119549E0,3.133999348E0
1.821314218E0,-8.678768158E0,-3.984049797E0,4.040879250E0
1.841587343E0,-8.733802795E0,-3.266202927E0,4.192225456E0
1.861860364E0,-8.367700577E0,-3.028715372E0,3.078366280E0
1.882260468E0,-8.760123253E0,-3.182454109E0,1.778465390E0
1.902406562E0,-8.614161491E0,-3.739981890E0,2.228914261E0
1.922679583E0,-8.248059273E0,-4.415356159E0,3.294318676E0
1.942952655E0,-8.444271088E0,-3.854837179E0,3.284747362E0
1.963225780E0,-8.544769287E0,-3.318845034E0,3.032902718E0
1.983498853E0,-9.552745819E0,-2.818146944E0,4.914857864E0
2.003771874E0,-1.065404320E1,-2.437688112E0,6.342176437E0
2.024044947E0,-9.937990189E0,-2.578864574E0,5.197809219E0
2.044317968E0,-7.232904434E0,-1.513460279E0,1.792822361E0
2.064591041E0,-6.617351055E0,-7.040880919E-1,-3.523431420E-1
2.084864062E0,-8.731410027E0,-4.552344978E-1,1.802393675E0
2.105137187E0,-9.614959717E0,-1.036690354E0,3.440280676E0
2.125410208E0,-9.325428009E0,-2.085943222E0,3.995415688E0
2.145683228E0,-8.602197647E0,-2.318047047E0,3.643670797E0
2.165956301E0,-8.484949112E0,-2.394617319E0,2.841476917E0
2.186229322E0,-8.745766640E0,-2.258226395E0,3.418745279E0
2.206502395E0,-9.835099220E0,-9.649057388E-1,3.287140131E0
2.226775416E0,-9.287142754E0,-6.155536175E-1,2.606980324E0
2.247048489E0,-9.320642471E0,-1.300499082E0,1.996212244E0
2.267321510E0,-9.110074043E0,-3.667000830E-1,1.998605132E0
2.287594583E0,-8.652446747E0,2.297109663E-1,2.915654421E0
2.307867603E0,-9.792028427E0,1.055832982E0,4.883750916E0
2.328140676E0,-1.081436157E1,1.974676847E0,5.599802971E0
2.348413697E0,-9.119645119E0,1.582253933E0,4.362115860E0
2.368686770E0,-8.048856735E0,2.451446772E0,3.521636724E0
2.388959843E0,-7.515257835E0,2.099701881E0,2.755335331E0
2.409232864E0,-6.713063717E0,8.159525394E-1,3.839882135E0
2.429505937E0,-6.655636311E0,2.488535494E-1,3.686741590E0
2.449779010E0,-7.639684677E0,4.067798555E-1,3.011367321E0
2.470052030E0,-1.000977516E1,6.388836503E-1,2.200200319E0
2.490325103E0,-1.075214863E1,4.953143001E-1,2.140379906E0
2.510725103E0,-9.354142189E0,1.842473447E-1,4.024129391E0
2.530871197E0,-8.877371788E0,-1.680957973E-1,3.155534744E0
2.551144270E0,-1.033101177E1,9.954141974E-1,2.225325108E-1
2.571417343E0,-1.170269775E1,6.293123364E-1,7.561319470E-1
2.591690364E0,-1.219083309E1,-6.466603279E-1,3.492922783E0
2.611963437E0,-1.296670628E1,-1.271785259E0,4.649254322E0
2.632236510E0,-1.153041458E1,-1.384247899E0,2.482553482E0
2.652509583E0,-1.015633583E1,-2.346760750E0,1.039083242E0
2.672782603E0,-1.026401234E1,-2.063809633E0,1.441077471E0
2.693055676E0,-1.069711399E1,-1.286142230E0,1.060618639E0
2.713328749E0,-1.078086281E1,-6.442674994E-1,1.965105653E0
2.733601822E0,-9.988240242E0,-3.379862010E-1,3.624528170E0
2.753874843E0,-8.197810173E0,-2.653042078E0,1.864607096E0
2.774147916E0,-8.248059273E0,-2.708076954E0,1.084546804E0
2.794420989E0,-7.211369038E0,-2.913859844E0,1.256830096E0
2.814820833E0,-5.085346222E0,-4.139583111E0,2.463410854E0
2.835131458E0,-4.448257446E0,-5.739185333E0,2.012962103E0
2.855403280E0,-4.685146809E0,-9.936196327E0,1.409970760E0
2.875659739E0,-6.217749596E0,-1.031665516E1,1.512862086E0
2.895777812E0,-7.565506935E0,-6.598806858E0,4.977070987E-1
