"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.601585000E-2,-4.977070987E-1,4.594219327E-1,9.665208817E0
6.613100600E-2,-4.378865361E-1,2.967100143E-1,9.200403214E0
8.640324600E-2,-3.972085714E-1,4.378865361E-1,9.243474007E0
1.066756420E-1,-3.038884699E-1,5.335994363E-1,9.030512810E0
1.269480380E-1,-5.718846321E-1,3.349951804E-1,9.145368576E0
1.472203810E-1,-1.295115232E0,5.647061467E-1,9.322437286E0
1.674927770E-1,-1.658824325E0,4.809573591E-1,9.059226990E0
1.877651210E-1,-1.187438250E0,2.440679073E-1,9.102297783E0
2.080376210E-1,-1.197009563E0,1.387837082E-1,9.324830055E0
2.283100690E-1,-2.267199516E0,2.536391914E-1,9.068798065E0
2.485825170E-1,-2.355733871E0,2.177468538E-1,8.628518105E0
2.688549130E-1,-2.202593327E0,1.914258152E-1,8.740981102E0
2.891274130E-1,-2.635694027E0,5.335994363E-1,9.195617676E0
3.093998610E-1,-3.236890793E0,5.575276613E-1,9.825528145E0
3.296722560E-1,-3.236890793E0,3.469592929E-1,1.038066292E1
3.499447040E-1,-3.047857761E0,1.028913707E-1,1.010548782E1
3.702171520E-1,-2.767299414E0,9.571290575E-3,9.200403214E0
3.906171520E-1,-3.110071182E0,1.986042857E-1,8.719446182E0
4.107620480E-1,-3.339782238E0,9.810572863E-2,9.004191399E0
4.310344960E-1,-4.039084435E0,-2.374876440E-1,9.490532875E0
4.513069440E-1,-4.532006264E0,-6.873382926E-1,1.005284595E1
4.715793920E-1,-4.290330887E0,-1.082752228E0,1.021555805E1
4.918518400E-1,-3.986442566E0,-1.362712502E0,9.686744690E0
5.121242880E-1,-3.972085476E0,-1.322034478E0,8.585447311E0
5.323967360E-1,-4.084548473E0,-1.324427366E0,8.115856171E0
5.526691310E-1,-4.594219685E0,-1.570888042E0,8.429914474E0
5.729415790E-1,-4.536791801E0,-1.884347796E0,9.083154678E0
5.932139750E-1,-4.369294167E0,-1.980060697E0,8.951549530E0
6.134864230E-1,-3.617349625E0,-2.109871387E0,7.436294556E0
6.337588710E-1,-4.177868366E0,-1.757528186E0,7.627720356E0
6.540313190E-1,-3.684348583E0,-1.441675663E0,8.101499557E0
6.743037150E-1,-3.948157310E0,-1.941775560E0,7.979465485E0
6.947037150E-1,-4.948955536E0,-2.193620205E0,8.444271088E0
7.148485590E-1,-5.262415409E0,-2.356332064E0,9.339186668E0
7.351210060E-1,-5.370092392E0,-3.035893679E0,9.641280174E0
7.553934020E-1,-5.255236626E0,-3.004786968E0,8.377271652E0
7.756658500E-1,-5.645267010E0,-2.892324448E0,7.737790108E0
7.960658500E-1,-5.051846981E0,-2.669791937E0,7.996214867E0
8.162106940E-1,-5.123631477E0,-2.420938253E0,8.599804878E0
8.364830900E-1,-5.678766251E0,-2.715255499E0,8.848658562E0
8.567554860E-1,-6.555137634E0,-2.818146944E0,8.475378036E0
8.770279340E-1,-7.070192814E0,-2.667398930E0,8.065607071E0
8.974279340E-1,-6.153143406E0,-2.418545485E0,8.709874153E0
9.175727250E-1,-4.455435753E0,-3.047857761E0,9.162117958E0
9.378451210E-1,-3.236890793E0,-3.436093330E0,9.176474571E0
9.581175170E-1,-2.971287489E0,-3.321237803E0,8.903693199E0
9.783899130E-1,-3.198605776E0,-3.589233875E0,8.927620888E0
9.987899130E-1,-3.145963669E0,-3.574877024E0,9.049654961E0
1.018934704E0,-2.805584431E0,-3.335594654E0,8.934800148E0
1.039207256E0,-2.870789051E0,-3.225524902E0,8.535198212E0
1.059479496E0,-3.200998545E0,-3.323630571E0,7.864609718E0
1.079751892E0,-2.966501951E0,-3.369094372E0,7.162914753E0
1.100024288E0,-2.465803623E0,-3.105285645E0,6.739385128E0
1.120296684E0,-2.216950178E0,-2.858824968E0,6.930810928E0
1.140569079E0,-2.087737799E0,-2.303689957E0,6.993024349E0
1.160841423E0,-1.579861164E0,-2.044667006E0,6.677171707E0
1.181113819E0,-1.005583763E0,-2.157727718E0,6.401997089E0
1.201513819E0,-5.312066078E-1,-2.227119684E0,5.985047817E0
1.221658559E0,-2.608176768E-1,-2.310868502E0,5.721837044E0
1.241930954E0,-5.264209956E-2,-2.020738840E0,5.511268616E0
1.262203350E0,-3.158525825E-1,-1.556531072E0,5.331807137E0
1.282475694E0,-1.634896040E0,-1.432104349E0,4.991427898E0
1.302748090E0,-2.729014158E0,-1.389033556E0,4.603790760E0
1.323020434E0,-3.330210924E0,-1.271785259E0,4.314259052E0
1.343292829E0,-3.991228104E0,-1.094716311E0,4.503292084E0
1.363565173E0,-4.441078663E0,-1.264606714E0,5.276772022E0
1.383837517E0,-5.255236626E0,-1.408176184E0,6.241677761E0
1.404109913E0,-7.012166977E0,-8.476574421E-1,6.528816700E0
1.424382256E0,-8.707481384E0,-2.398804724E-1,6.521637917E0
1.444654600E0,-8.843872070E0,-1.776670814E-1,6.904489517E0
1.464926944E0,-8.659625053E0,-6.825526357E-1,7.725826263E0
1.485199340E0,-9.150752068E0,-1.523031592E0,8.206783295E0
1.505471684E0,-1.001216793E1,-1.936989903E0,7.972286701E0
1.525744027E0,-1.147777176E1,-1.274178028E0,7.307082176E0
1.546016371E0,-1.272742367E1,-5.940182209E-1,7.148557663E0
1.566288715E0,-1.202094269E1,-6.993024349E-1,7.855038643E0
1.586561059E0,-9.265607834E0,-1.812563181E0,8.657232285E0
1.606833402E0,-8.506484032E0,-2.968894720E0,8.307282448E0
1.627105694E0,-1.086461163E1,-2.736790895E0,7.331010342E0
1.647378038E0,-1.270588779E1,-1.087537885E0,7.278368473E0
1.667650381E0,-1.170987606E1,-8.165507317E-1,7.740182877E0
1.687922725E0,-1.062532902E1,-1.585245013E0,8.386843681E0
1.708195017E0,-1.102253723E1,-1.946561217E0,8.489734650E0
1.728467361E0,-1.041954613E1,-2.090728760E0,7.804789066E0
1.748739704E0,-8.578269005E0,-1.903490424E0,7.285546780E0
1.769139704E0,-7.883752346E0,-9.074779749E-1,7.004988194E0
1.789284340E0,-7.845467091E0,-8.333004713E-1,6.555137634E0
1.809684340E0,-8.027321815E0,-1.762313843E0,5.245665550E0
1.829828975E0,-7.364510059E0,-2.162513494E0,4.364508629E0
1.850101319E0,-8.195417404E0,-1.817348838E0,3.614956856E0
1.870373559E0,-1.070429230E1,-4.360919297E-1,2.327019930E0
1.890645902E0,-1.164766216E1,3.349951804E-1,1.072582722E0
1.910918246E0,-1.086700439E1,2.967100143E-1,1.307079315E0
1.931190538E0,-1.046500969E1,-3.882354796E-1,1.680359721E0
1.951462881E0,-8.048856735E0,-6.281159073E-2,3.229712248E0
1.971735173E0,-1.072343445E1,1.252044439E0,4.438685894E0
1.992007465E0,-1.207597733E1,2.848655462E0,3.490530014E0
2.012279756E0,-8.750552177E0,3.404388428E0,2.324627161E0
2.032552048E0,-5.346164227E0,2.267199516E0,9.523434043E-1
2.052824340E0,-7.316653252E0,4.689932466E-1,3.900300860E-1
2.073096684E0,-9.916455269E0,2.465803623E0,2.087737799E0
2.093368975E0,-8.417949677E0,4.974678040E0,3.306282759E0
2.113641267E0,-6.222535133E0,3.863810301E0,3.801596880E0
2.133913506E0,-3.244069338E0,2.005783558E0,2.690729141E0
2.154185798E0,-7.259225845E0,-1.396211982E0,-1.850848317E0
2.174458090E0,-1.043629551E1,-1.824527234E-1,-3.232703447E0
2.194730381E0,-1.394836140E1,1.165902853E0,1.931606054E0
2.215130381E0,-1.098903847E1,3.181855917E0,3.866203070E0
2.235274965E0,-1.230389404E1,1.058225870E0,5.721837044E0
2.255547256E0,-1.279442310E1,8.853443712E-2,3.258426189E0
2.275819496E0,-1.067797089E1,2.197807550E0,3.182454109E-1
2.296091788E0,-1.175773239E1,1.500898004E0,2.597409010E0
2.316364079E0,-1.100100231E1,2.338984251E0,2.053640127E0
2.336636371E0,-1.075214863E1,7.082754970E-1,3.068794966E0
2.356908663E0,-9.543174744E0,-2.251047850E0,2.355733871E0
2.377180954E0,-9.059226990E0,-3.095714331E0,1.484148264E0
2.397453194E0,-9.641280174E0,-1.635494232E0,1.907677889E0
2.417725486E0,-1.158305645E1,-5.802594870E-2,7.178468108E-1
2.437997777E0,-1.204965687E1,3.165106058E0,8.877372146E-1
2.458270017E0,-9.268000603E0,6.679564476E0,5.151747227E0
2.478542309E0,-9.459425926E0,6.205187321E0,3.813561201E0
2.498814600E0,-9.521639824E0,5.096712112E0,1.077368379E0
2.519086892E0,-5.740979671E0,3.428316593E0,1.165902853E0
2.539359131E0,-5.874977589E0,2.365305185E0,1.039083242E0
2.559631423E0,-8.583054543E0,2.867797852E0,1.539183140E0
2.579903715E0,-8.910871506E0,3.299104214E0,2.731407166E0
2.600176006E0,-8.300702095E0,1.634896040E0,1.823929071E0
2.620448246E0,-7.780860901E0,5.024927258E-1,2.416750938E-1
2.640720538E0,-8.798408508E0,4.881358147E-1,3.637090325E-1
2.660992829E0,-1.013180923E1,1.055832982E0,1.125224829E0
2.681265069E0,-8.812766075E0,8.614161611E-1,3.248854876E0
2.701537361E0,-6.942774773E0,3.206382394E-1,4.129413605E0
2.721809652E0,-1.419482231E1,-2.418545485E0,1.079761267E0
