"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.104308900E-2,-2.465326786E0,6.235555649E0,7.156144619E0
1.013130370E-1,-2.382199764E0,6.180254459E0,7.231871605E0
1.215830370E-1,-2.300621986E0,6.113111496E0,7.314874172E0
1.416956410E-1,-2.211304188E0,6.032428741E0,7.408801079E0
1.619654320E-1,-2.107990026E0,5.926109791E0,7.523828506E0
1.822352240E-1,-1.989266872E0,5.805287361E0,7.649304390E0
2.025051200E-1,-1.852102757E0,5.670094490E0,7.783965588E0
2.229051200E-1,-1.697129846E0,5.495285034E0,7.943046093E0
2.430449120E-1,-1.551846504E0,5.311352730E0,8.096400261E0
2.633148070E-1,-1.438739777E0,5.127355576E0,8.234722137E0
2.835847550E-1,-1.336901665E0,4.967731953E0,8.348935127E0
3.038546510E-1,-1.225970984E0,4.854454517E0,8.432179451E0
3.242546510E-1,-1.090672612E0,4.784374714E0,8.490617752E0
3.443945990E-1,-9.156680703E-1,4.700863838E0,8.557676315E0
3.646644950E-1,-7.252659202E-1,4.548593998E0,8.657636642E0
3.849344950E-1,-5.242041945E-1,4.311622620E0,8.792355537E0
4.052044950E-1,-2.745226026E-1,3.983123302E0,8.957106590E0
4.254744430E-1,5.253725871E-2,3.551550150E0,9.140793800E0
4.457443910E-1,4.432324469E-1,3.039640188E0,9.313137054E0
4.660143910E-1,8.740895391E-1,2.503920078E0,9.441226006E0
4.862843910E-1,1.282529593E0,2.029351234E0,9.508273125E0
5.065543390E-1,1.582696438E0,1.620828509E0,9.541402817E0
5.269543390E-1,1.809859157E0,1.223680019E0,9.560198784E0
5.470943390E-1,1.953455210E0,8.434656262E-1,9.573033333E0
5.673643390E-1,2.058186054E0,4.849001169E-1,9.575965881E0
5.876342350E-1,2.104221344E0,1.297912151E-1,9.577358246E0
6.079042350E-1,2.104355335E0,-2.320919186E-1,9.575395584E0
6.281742350E-1,2.216923952E0,-5.947401524E-1,9.534249306E0
6.484442350E-1,2.535247326E0,-9.588316679E-1,9.424624443E0
6.687142350E-1,2.910052299E0,-1.321719170E0,9.271194458E0
6.889841820E-1,3.286652088E0,-1.615730405E0,9.097126961E0
7.092541820E-1,3.833445787E0,-1.696793318E0,8.865436554E0
7.295241820E-1,4.477654934E0,-1.501672387E0,8.594531059E0
7.497941820E-1,5.241594315E0,-1.110333562E0,8.213601112E0
7.700641300E-1,5.894453526E0,-6.493102312E-1,7.810518265E0
7.903341300E-1,6.228053570E0,-4.646165967E-1,7.560811520E0
8.106041300E-1,6.408623695E0,-5.726393461E-1,7.400812149E0
8.308741300E-1,6.481120586E0,-8.968757391E-1,7.304867268E0
8.511440780E-1,6.546546459E0,-1.313474774E0,7.182472229E0
8.714140780E-1,6.564787865E0,-1.780846834E0,7.064171791E0
8.916840780E-1,6.517371655E0,-2.314722300E0,6.952432156E0
9.119540780E-1,6.436413288E0,-2.885616779E0,6.812942982E0
9.322240780E-1,6.364462376E0,-3.329803228E0,6.676556587E0
9.524940260E-1,6.331606865E0,-3.573586702E0,6.581080914E0
9.727640260E-1,6.334788322E0,-3.680625439E0,6.518729687E0
9.930340260E-1,6.442184925E0,-3.739952564E0,6.378197193E0
1.013304026E0,6.652826309E0,-3.782684803E0,6.132013321E0
1.033573974E0,6.818829060E0,-3.801407576E0,5.934917927E0
1.053843974E0,6.841386795E0,-3.791666269E0,5.915157795E0
1.074113974E0,6.767671108E0,-3.791727304E0,5.999319077E0
1.094383974E0,6.673251629E0,-3.841134548E0,6.073202133E0
1.114653974E0,6.726751328E0,-3.874261856E0,5.992602825E0
1.134923922E0,7.001705170E0,-3.730557203E0,5.764500618E0
1.155193922E0,7.403225899E0,-3.456340551E0,5.423683643E0
1.175463922E0,7.833852768E0,-3.139259338E0,4.994617939E0
1.195733870E0,8.248007774E0,-2.876511097E0,4.457178116E0
1.216003870E0,8.667988777E0,-2.621636152E0,3.763426781E0
1.236273870E0,9.046237946E0,-2.309355974E0,3.000472307E0
1.256543818E0,9.347142220E0,-1.957929730E0,2.228864431E0
1.276813818E0,9.560763359E0,-1.588467598E0,1.496317863E0
1.297083818E0,9.690197945E0,-1.256279111E0,8.319898248E-1
1.317483818E0,9.752964973E0,-1.009148836E0,1.779266149E-1
1.337623766E0,9.756031036E0,-9.035923481E-1,-4.168364108E-1
1.357893766E0,9.727538109E0,-8.491955996E-1,-9.078873396E-1
1.378163714E0,9.675063133E0,-7.517554760E-1,-1.413651109E0
1.398433714E0,9.581349373E0,-6.083747149E-1,-1.999505162E0
1.418703714E0,9.427724838E0,-4.532910883E-1,-2.661373854E0
1.438973714E0,9.182882309E0,-3.142743707E-1,-3.427287340E0
1.459243662E0,8.841755867E0,-2.148139924E-1,-4.236461639E0
1.479513662E0,8.461726189E0,-1.547672600E-1,-4.954355717E0
1.499783610E0,8.057728767E0,-5.939633027E-2,-5.589262962E0
1.520053610E0,7.650462151E0,3.831909597E-2,-6.135091782E0
1.540402307E0,7.291191101E0,1.076438949E-1,-6.557233810E0
1.560593714E0,7.046802044E0,1.527905017E-1,-6.818330288E0
1.580863662E0,6.816736221E0,2.045556009E-1,-7.047030926E0
1.601133662E0,6.576431274E0,2.445068061E-1,-7.270566940E0
1.621533662E0,6.348974228E0,2.726092637E-1,-7.469042301E0
1.641673557E0,6.081943035E0,3.039758801E-1,-7.686869144E0
1.661943557E0,5.785770416E0,3.390970826E-1,-7.910768986E0
1.682213557E0,5.487293243E0,3.521984816E-1,-8.120096207E0
1.702483505E0,5.308529854E0,3.340017796E-1,-8.238831520E0
1.722883505E0,5.252886295E0,3.078421056E-1,-8.275433540E0
1.743023505E0,5.170913219E0,1.998118311E-1,-8.330193520E0
1.763293453E0,5.109368324E0,-1.028651604E-3,-8.370469093E0
1.783563453E0,5.139832020E0,-1.776573211E-1,-8.349907875E0
1.803833453E0,5.166313648E0,-2.661424279E-1,-8.331192970E0
1.824233453E0,5.123570919E0,-3.518708050E-1,-8.354375839E0
1.844373401E0,5.036856651E0,-4.439274967E-1,-8.402582169E0
1.864643401E0,4.976952553E0,-5.341262817E-1,-8.432972908E0
1.884913401E0,4.868752480E0,-6.615678668E-1,-8.486929893E0
1.905183401E0,4.807567596E0,-7.441130280E-1,-8.514926910E0
1.925583401E0,4.863533020E0,-8.145737052E-1,-8.476608276E0
1.945723401E0,4.931084633E0,-9.547995925E-1,-8.422774315E0
1.965993401E0,4.956839085E0,-1.148360968E0,-8.383400917E0
1.986263401E0,4.959155083E0,-1.320377231E0,-8.356659889E0
2.006533401E0,4.952814102E0,-1.411532164E0,-8.345514297E0
