"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.019084000E-2,-7.488784790E0,5.667151451E0,2.823456049E0
4.059084000E-2,-7.356854439E0,5.735888481E0,3.024345398E0
6.073125700E-2,-7.227301121E0,5.779049873E0,3.246398449E0
8.100146500E-2,-7.095390320E0,5.800618649E0,3.489793301E0
1.012716210E-1,-6.936992645E0,5.817406178E0,3.769125700E0
1.215418300E-1,-6.708456039E0,5.856246471E0,4.107480526E0
1.418120900E-1,-6.415536404E0,5.900280476E0,4.494215012E0
1.620823510E-1,-6.072435379E0,5.934591770E0,4.906783104E0
1.823526110E-1,-5.662073135E0,5.927904606E0,5.382495880E0
2.026229240E-1,-5.109209538E0,5.844460964E0,5.992383003E0
2.228931840E-1,-4.431335926E0,5.662680149E0,6.668411732E0
2.431634960E-1,-3.693039179E0,5.395151615E0,7.309184551E0
2.634338090E-1,-3.034189463E0,5.087962151E0,7.815159321E0
2.837041740E-1,-2.346621990E0,4.770943165E0,8.240258217E0
3.039744340E-1,-1.639385462E0,4.456165791E0,8.580523491E0
3.242447990E-1,-1.017621160E0,4.176586151E0,8.814247131E0
3.445151110E-1,-4.897987545E-1,3.970668793E0,8.953450203E0
3.647854240E-1,1.083959863E-1,3.848014832E0,9.019501686E0
3.850557360E-1,7.997143865E-1,3.806097984E0,9.002470016E0
4.053260490E-1,1.413503408E0,3.783957958E0,8.936110497E0
4.255963610E-1,1.695242524E0,3.749403000E0,8.901602745E0
4.458666740E-1,1.709031105E0,3.765803337E0,8.892037392E0
4.661370380E-1,1.673331738E0,3.835294962E0,8.869095802E0
4.864073510E-1,1.746175170E0,3.956379652E0,8.801609039E0
5.066776630E-1,1.978888631E0,4.114285469E0,8.679115295E0
5.270776630E-1,2.391714334E0,4.211503506E0,8.527211189E0
5.472182880E-1,2.693627596E0,4.231057644E0,8.426916122E0
5.674886530E-1,2.841791630E0,4.259604931E0,8.363634109E0
5.877589650E-1,3.013575315E0,4.303680420E0,8.280523300E0
6.080292780E-1,3.349127769E0,4.352549553E0,8.124594688E0
6.284292780E-1,3.898857355E0,4.353939533E0,7.874802113E0
6.485699030E-1,4.351167202E0,4.251515388E0,7.691706657E0
6.688402150E-1,4.499386311E0,4.073644161E0,7.702682495E0
6.891105280E-1,4.548720837E0,3.897410154E0,7.764645576E0
7.093808400E-1,4.641485214E0,3.738209009E0,7.787990093E0
7.297808400E-1,4.804968834E0,3.536412001E0,7.783087254E0
7.499215170E-1,5.107180595E0,3.241035938E0,7.718988895E0
7.701918300E-1,5.476176262E0,2.890918732E0,7.604238987E0
7.904621420E-1,5.853183270E0,2.598207951E0,7.426973343E0
8.107324550E-1,6.197404385E0,2.435204983E0,7.199467182E0
8.311324550E-1,6.496709824E0,2.339830637E0,6.963356972E0
8.512730800E-1,6.760354519E0,2.257292747E0,6.735919952E0
8.715433920E-1,6.941856861E0,2.095352888E0,6.602311134E0
8.918137570E-1,6.992883682E0,1.826976657E0,6.628130913E0
9.120840690E-1,6.905836105E0,1.593068004E0,6.778048992E0
9.324840690E-1,6.887965202E0,1.453831196E0,6.827348709E0
9.526246940E-1,7.059559822E0,1.409656763E0,6.659270763E0
9.728950070E-1,7.362932682E0,1.433700323E0,6.316812038E0
9.931653710E-1,7.698324203E0,1.411531687E0,5.908787727E0
