"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.954859600E-2,-2.934801280E-1,-6.004092097E-1,1.781653464E-1
3.984812700E-2,-6.230461001E-1,-6.744450331E-1,2.175800949E-1
5.996130400E-2,-9.751157165E-1,-6.424871087E-1,2.506032586E-1
8.023151200E-2,-1.207742691E0,-5.780386925E-1,1.802958697E-1
1.005017730E-1,-1.257809997E0,-5.673860312E-1,1.376853287E-1
1.207720850E-1,-1.214134216E0,-6.249102950E-1,3.459443748E-1
1.411720850E-1,-1.145424724E0,-7.724493146E-1,6.451503038E-1
1.613129190E-1,-1.235972166E0,-1.070057273E0,6.882934570E-1
1.815832830E-1,-1.657816529E0,-1.521729112E0,4.885565341E-1
2.018536480E-1,-2.221607208E0,-2.068076134E0,4.466117918E-1
2.221240640E-1,-2.775943995E0,-1.013598323E0,4.199801981E-1
2.425240640E-1,-2.929341793E0,1.402153224E-1,3.262369931E-1
2.626648980E-1,-2.514022112E0,-1.035968885E-1,4.572644234E-1
2.829353140E-1,-1.773797154E0,-6.771082282E-1,7.213166356E-1
3.032057830E-1,-1.274321675E0,-6.078660488E-1,1.176583648E0
3.234762520E-1,-1.223721623E0,-7.404913902E-1,1.749562383E0
3.438762520E-1,-1.369662762E0,-1.275120616E0,2.208025217E0
3.640171890E-1,-1.310540557E0,-1.949831963E0,2.424806356E0
3.842876060E-1,-9.197220206E-1,-2.058488846E0,2.721881866E0
4.045580230E-1,-6.864292622E-1,-1.642503381E0,3.571829081E0
4.248284910E-1,-8.866988420E-1,-2.114281893E0,3.933352947E0
4.450977100E-1,-1.113067389E0,-2.864627123E0,3.186736107E0
4.653690120E-1,-7.807050943E-1,-2.602172852E0,7.010766268E-1
4.856393770E-1,-6.285055727E-2,-3.045722008E0,-9.885646701E-1
5.060394810E-1,3.487406969E-1,-3.750660181E0,-9.337036014E-1
5.261804710E-1,2.241048366E-1,-3.569698572E0,-5.807018280E-1
5.464509910E-1,-1.667137593E-1,-3.595797539E0,-4.869586527E-1
5.667214600E-1,-2.828274965E-1,-3.895003319E0,-4.763059914E-1
5.869919810E-1,-1.885516644E-1,-4.695415974E0,-7.683213800E-2
6.072624500E-1,-2.194443047E-1,-5.107007027E0,3.853591084E-1
6.276704190E-1,-3.866907060E-1,-4.650142193E0,1.824263930E-1
6.479480230E-1,-1.047553658E0,-2.825212240E0,2.127864063E-1
6.680285960E-1,-1.729588628E0,-1.413072228E0,4.247738719E-1
6.883394290E-1,-2.140247822E0,-8.443545699E-1,3.645864725E-1
7.086097410E-1,-1.943706632E0,-1.223455310E0,1.525990218E-1
7.290188040E-1,-1.462340713E0,-1.449291229E0,5.139897019E-2
7.493010440E-1,-9.948230982E-1,-1.589772820E0,-4.660528526E-2
7.694167730E-1,-6.464818716E-1,-1.387505889E0,-1.657816470E-1
7.896889600E-1,-6.667218804E-1,-6.046702862E-1,-2.648511827E-1
8.099610440E-1,-8.595346212E-1,-4.832302332E-1,-2.579269707E-1
8.302313560E-1,-7.881619334E-1,-8.784430027E-1,-3.649859428E-1
8.506326580E-1,-2.822948694E-1,-9.572725296E-1,-3.245059252E-1
8.707744810E-1,2.374206334E-1,-6.840324402E-1,-3.431480527E-1
8.910457310E-1,1.692437679E-1,-7.005439997E-1,-6.593981981E-1
9.113167730E-1,-3.904191256E-1,-1.190432072E0,-8.346340656E-1
9.315871890E-1,-9.111998677E-1,-9.711209536E-1,-6.311687231E-1
9.518602100E-1,-1.318530083E0,-1.731053367E-2,-3.319627941E-1
9.721306790E-1,-1.494298577E0,3.660512269E-1,-1.412805915E-1
9.924010960E-1,-1.637043953E0,1.641837656E-1,5.672528967E-2
1.012671512E0,-2.143976212E0,5.721797347E-1,2.143843025E-1
1.032941929E0,-2.966626167E0,6.956171393E-1,4.306328297E-1
1.053212398E0,-3.220691442E0,7.142592669E-1,7.032071352E-1
1.073482762E0,-3.244127274E0,1.061535239E0,9.045419693E-1
1.093753231E0,-3.040661812E0,1.372459054E0,7.996135354E-1
1.114023648E0,-2.303100109E0,1.093226820E-1,2.234390527E-1
1.134294064E0,-1.444763780E0,-3.864243925E-1,1.350221634E-1
1.154564533E0,-1.115197897E0,-3.203780353E-1,1.302284747E-1
1.174834898E0,-1.130511045E0,-2.229064107E-1,8.868319541E-2
1.195105419E0,-9.660609365E-1,-8.495477587E-2,3.230412006E-1
1.215375835E0,-9.053409100E-1,-1.358211134E-2,6.334323883E-1
1.235646200E0,-9.900293946E-1,4.368912578E-1,1.007339954E0
1.255916721E0,-1.084837914E0,3.926828206E-1,1.546230197E0
1.276187137E0,-9.447556734E-1,1.091895223E0,2.146772623E0
1.296457606E0,-6.400902867E-1,1.830921888E0,3.012698650E0
1.316728023E0,-2.641853690E-1,1.036501527E0,3.783683300E0
1.336998491E0,2.549974918E-1,2.818953991E-1,3.779954910E0
1.357387658E0,4.009386003E-1,4.736428559E-1,3.266098261E0
1.377697294E0,6.064013243E-1,1.025848866E0,2.504168510E0
1.397771148E0,9.973530769E-1,2.096705198E0,1.215465784E0
1.418080679E0,1.110670447E0,1.834117651E0,1.028512001E0
1.438409273E0,8.540751338E-1,7.547392845E-1,1.183507919E0
1.458810575E0,4.988096952E-1,3.442133069E-1,7.495461106E-1
1.478887710E0,-1.097221524E-1,5.253081322E-1,2.175800949E-1
1.499158908E0,-7.998798490E-1,8.042740226E-1,-1.583248079E-1
1.519430002E0,-1.183774233E0,1.686046004E0,-4.480765164E-1
1.539700991E0,-1.626923919E0,3.007771969E0,-9.432909489E-1
1.559971825E0,-1.911748767E0,3.164898396E0,-1.749429226E0
1.580242606E0,-2.147704601E0,1.354349613E0,-1.797366023E0
1.600513335E0,-1.856355071E0,5.599291921E-1,-1.068992019E0
1.620783856E0,-3.520696461E-1,1.747831345E0,-4.107922912E-1
1.641054637E0,-8.522108942E-2,6.151897311E-1,-1.876195520E-1
1.661325262E0,4.727107286E-2,-7.314366698E-1,1.350221634E-1
1.681595835E0,1.013332009E0,-1.381646991E0,3.901528120E-1
1.701866304E0,-5.075981021E-1,-3.576090097E0,8.960198760E-1
1.722136773E0,3.380880356E-1,-4.102729797E0,1.881655097E0
1.742526148E0,1.232643247E0,-1.555151701E0,2.374738932E0
1.762677866E0,1.024916768E0,1.056208849E0,2.605368614E0
1.782948387E0,-2.356895804E-2,3.383676767E0,2.622412682E0
1.803218908E0,-1.117328405E0,4.150001049E0,2.158490419E0
1.823489429E0,-1.376054287E0,2.722414494E0,1.117461562E0
1.843759950E0,-1.135837317E0,5.844302773E-1,1.142495275E-1
1.864030419E0,-1.093359947E0,-9.455546141E-1,-1.796300858E-1
1.884300939E0,-1.874464512E0,-3.280479431E0,1.360874325E-1
1.904571460E0,-1.421860695E0,-4.182624340E0,5.705818534E-1
1.924841981E0,7.763108611E-2,-2.365151644E0,5.577986836E-1
1.945112450E0,1.065396786E0,-6.376934648E-1,3.549990952E-1
1.965382971E0,9.936246872E-1,-1.451421678E-1,2.021337748E-1
1.985653439E0,6.436855793E-1,-9.321057238E-3,-1.599227041E-1
2.005924012E0,3.620564938E-1,1.641837656E-1,-3.703122735E-1
2.026194533E0,2.693785429E-1,6.918887496E-1,-3.596596420E-1
2.046602450E0,2.139848322E-1,1.552488565E0,-2.563290596E-1
2.066884116E0,1.916143000E-1,2.442250013E0,-1.008005738E-1
2.086999169E0,2.027995586E-1,2.784599066E0,-6.125265732E-3
2.107269585E0,2.656501234E-1,2.435325861E0,-9.440898895E-2
2.127679012E0,4.051996469E-1,1.584446549E0,-7.723161485E-3
2.147961721E0,4.632565379E-1,1.061002612E0,3.331612051E-1
2.168074950E0,7.299718857E-1,9.337036014E-1,1.181910038E0
2.188477814E0,9.419593811E-1,6.178529263E-1,2.160088301E0
2.208620939E0,8.418245912E-1,1.210405827E-1,2.762361765E0
2.228891304E0,6.990792751E-1,-3.193127811E-1,3.047852516E0
2.249293127E0,4.876244366E-1,-1.033305764E0,2.764492273E0
2.269435575E0,4.105259776E-1,-2.202166319E0,1.996703506E0
2.289707189E0,8.157256246E-1,-2.872616529E0,9.354346395E-1
2.309978544E0,1.039297819E0,-1.583381295E0,-5.605949834E-2
2.330249064E0,6.660560966E-1,1.119858399E-1,-4.400870502E-1
2.350649794E0,-4.807002097E-2,8.436887860E-1,-5.364934206E-1
2.370791408E0,-7.913577557E-1,7.313035131E-1,-4.683165252E-1
2.391062450E0,-1.214134216E0,3.447459340E-1,-4.209122956E-1
2.411333387E0,-1.182708979E0,3.701791167E-2,-4.475438893E-1
2.431603908E0,-1.027846217E0,-1.302284747E-1,-4.113249183E-1
2.451876044E0,-1.003877878E0,-1.201084778E-1,-3.804322779E-1
2.472146616E0,-1.106143117E0,1.837579720E-2,-4.251733422E-1
2.492417189E0,-1.373923779E0,3.937480748E-1,-5.954823494E-1
2.512687762E0,-1.808950782E0,1.008272052E0,-1.009337306E0
2.532958283E0,-2.220541954E0,9.725856781E-1,-1.591370702E0
2.553228856E0,-2.249836922E0,-3.968106955E-2,-1.956622958E0
2.573499481E0,-1.718403459E0,-1.632516533E-1,-1.825062990E0
2.593770054E0,-1.105077863E0,1.498026997E-1,-1.423591733E0
2.614040679E0,-4.660528302E-1,-1.091895252E-2,-1.059404731E0
2.634440679E0,-2.141179889E-1,-3.336938322E-1,-9.395625591E-1
2.654581877E0,-3.834949136E-1,-5.380913019E-1,-8.671246171E-1
2.674852502E0,-4.223770201E-1,-6.510092616E-1,-8.751140833E-1
2.695123075E0,-2.988064587E-1,-5.263733864E-1,-8.788425326E-1
2.715393700E0,-9.587372839E-2,-3.123885691E-1,-7.914909124E-1
2.735664325E0,1.436774284E-1,-1.371526867E-1,-6.061350107E-1
2.755934950E0,3.258375227E-1,-7.057371736E-2,-4.406196773E-1
2.776205575E0,4.707133770E-1,-1.312937438E-1,-2.579269707E-1
2.796476200E0,6.474139690E-1,-3.502054214E-1,-3.037332892E-1
2.816746825E0,7.422224283E-1,-6.723145247E-1,-1.924132407E-1
2.837017450E0,6.767086983E-1,-1.015196204E0,-8.695214242E-2
2.857406825E0,5.446160436E-1,-1.165931106E0,-7.416898012E-2
2.877716616E0,3.998733461E-1,-8.342345953E-1,-1.604553312E-1
2.897987398E0,3.508712053E-1,-4.290349185E-1,-1.721732318E-1
2.918100679E0,4.462123215E-1,-3.747064769E-1,-1.077247858E-1
2.938425366E0,4.934833944E-1,-1.483379602E-1,-7.843003422E-2
2.958827502E0,4.918854833E-1,1.731053367E-2,-1.183774248E-1
2.978905679E0,5.813676119E-1,3.222422674E-2,5.060002208E-3
2.999177554E0,7.273087502E-1,-8.921582997E-2,2.932138145E-1
3.019449221E0,8.183888197E-1,-2.143843025E-1,6.542050242E-1
3.039719846E0,9.398288727E-1,5.753754973E-1,1.190964699E0
3.060120679E0,1.234241128E0,1.883119822E0,1.684581280E0
3.080262658E0,7.736477256E-1,1.008804679E0,7.165229321E-1
3.100533752E0,-1.325986862E0,-2.725077629E0,-6.679202914E-1
3.120804846E0,-2.399506330E0,-1.681918144E0,-7.893603444E-1
3.141075887E0,-8.313050866E-1,4.576638937E-1,4.554001987E-2
3.161346825E0,7.001445293E-1,2.461957455E0,1.210139513E0
